SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 -0.31   	-91.86   	 49.95   	 -35.61		  6.80   	  -5.09		
  3.97   	-89.42   	 49.81   	 -40.69		  6.78   	  66.12		
 11.90   	-83.62   	 49.64   	 -66.12		  7.04   	 -10.17		
 24.11   	-74.77   	 49.38   	 -86.47		  7.00   	 -91.56		
 39.06   	-64.09   	 49.03   	 -76.30		  6.63   	 -76.30		
 55.24   	-51.57   	 48.73   	 -66.12		  6.33   	 -20.35		
 70.19   	-34.18   	 48.46   	 -81.38		  6.25   	   5.09		
 82.40   	 -7.93   	 48.14   	-106.82		  6.27   	  30.52		
 90.33   	 23.80   	 47.71   	 -76.30		  6.39   	  61.04		
 92.77   	 49.13   	 47.41   	-116.99		  6.63   	 269.58		
 80.87   	 31.43   	 46.94   	 -91.56		  7.71   	 152.59		
 69.89   	 -7.93   	 46.57   	 -71.21		  8.32   	 111.90		
 54.93   	-48.22   	 46.29   	 -40.69		  8.77   	  55.95		
 35.10   	-76.90   	 46.12   	 -45.78		  8.99   	 -45.78		
 11.29   	-92.47   	 45.94   	 -76.30		  8.81   	-162.77		
-11.60   	-101.32   	 45.64   	 -66.12		  8.16   	-223.80		
-28.08   	-107.73   	 45.37   	 -20.35		  7.26   	-167.85		
-33.57   	-112.61   	 45.29   	  -5.09		  6.59   	 -15.26		
-30.82   	-114.75   	 45.27   	 -55.95		  6.53   	 127.16		
-25.94   	-114.75   	 45.05   	 -76.30		  7.04   	 167.85		
-24.72   	-115.36   	 44.74   	 -55.95		  7.71   	 127.16		
-28.99   	-118.10   	 44.52   	 -35.61		  8.22   	  61.04		
-35.71   	-123.29   	 44.37   	 -55.95		  8.46   	  76.30		
-41.81   	-127.87   	 44.15   	 -61.04		  8.77   	 157.68		
-45.78   	-129.70   	 43.91   	 -61.04		  9.40   	 162.77		
-47.61   	-128.78   	 43.66   	 -55.95		 10.05   	  96.64		
-48.83   	-125.73   	 43.44   	 -61.04		 10.44   	  30.52		
-49.44   	-122.38   	 43.19   	 -61.04		 10.56   	  20.35		
-49.74   	-121.77   	 42.95   	 -61.04		 10.64   	  50.86		
-49.44   	-130.62   	 42.71   	 -66.12		 10.84   	  81.38		
-44.25   	-162.05   	 42.44   	 -40.69		 11.17   	  96.64		
-22.28   	-220.34   	 42.28   	 -30.52		 11.56   	  71.21		
 33.57   	-269.17   	 42.16   	 -61.04		 11.84   	  35.61		
133.06   	-217.59   	 41.91   	 -61.04		 11.98   	  25.43		
247.80   	 19.84   	 41.67   	 -15.26		 12.09   	  66.12		
299.99   	427.55   	 41.61   	 -55.95		 12.35   	 137.33		
-55.54   	972.60(R)	 41.38   	 -61.04		 12.90(E)	 -35.61		
-412.60   	676.57   	 41.14   	 -45.78		 12.76   	 -66.12		
-715.94   	 44.25   	 40.96   	 -35.61		 12.49   	 -76.30		
-832.21   	-585.94   	 40.81   	 -45.78		 12.19   	 -71.21		
-732.73   	-873.72   	 40.63   	 -66.12		 11.90   	 -61.04		
-498.96   	-713.50   	 40.37   	 -50.86		 11.66   	 -45.78		
-252.99   	-292.97   	 40.16   	 -30.52		 11.48   	 -20.35		
-83.92   	 70.19   	 40.04   	 -35.61		 11.39   	   5.09		
-12.51   	176.70   	 39.90   	 -55.95		 11.41   	  61.04		
 -7.32   	 60.42   	 39.67   	 -45.78		 11.66   	 213.63		
-24.41   	-104.68   	 39.49   	 -25.43		 12.51   	 513.73		
-36.01   	-176.39   	 39.39   	 -40.69		 14.57   	 900.30		
-33.57   	-136.41   	 39.23   	 -45.78		 18.17   	1047.81		
-21.36   	-56.15   	 39.04   	 -25.43		 22.36   	 447.61		
 -7.93   	 -9.46   	 38.94   	 -10.17		 24.15   	-178.03		
 -0.61   	-13.73   	 38.90   	 -10.17		 23.44   	 223.80		
  0.00   	-41.20   	 38.86   	 -20.35		 24.33   	 859.61		
 -2.44   	-58.90   	 38.78   	 -40.69		 27.77   	1063.07		
 -3.66   	-56.46   	 38.62   	 -30.52		 32.02   	 808.75		
 -2.14   	-43.03   	 38.49   	 -35.61		 35.26   	 386.57		
  0.31   	-31.13   	 38.35   	 -81.38		 36.81   	 279.75		
  3.36   	-27.16   	 38.03   	 -96.64		 37.92   	 462.87		
  7.02   	-29.30   	 37.64   	 -61.04		 39.78   	 508.65		
 11.60   	-32.35   	 37.40   	 -30.52		 41.81   	 295.01		
 16.48   	-31.74   	 37.27   	   5.09		 42.99   	 -15.26		
 22.89   	-19.23   	 37.29   	 132.25		 42.93   	   0.00		
 24.41   	-12.82   	 37.82   	 264.50		 42.93   	  55.95		
 25.63   	 -8.24   	 38.88   	 371.31		 43.15   	  35.61		
 26.86   	 -4.58   	 40.37   	 442.52		 43.30   	 -10.17		
 28.99   	  0.00   	 42.14   	 513.73		 43.26   	  45.78		
 32.65   	  5.49   	 44.19   	 574.77		 43.44   	 178.03		
 36.62   	 11.60   	 46.49   	 579.86		 44.15   	 244.15		
 40.28   	 17.40   	 48.81   	 534.08		 45.13   	 193.29		
 41.50   	 21.97   	 50.95   	 467.95		 45.90   	 142.42		
 40.59   	 25.33   	 52.82   	 437.43		 46.47   	 172.94		
 38.76   	 28.99   	 54.57   	 437.43		 47.16   	 228.89		
 37.54   	 33.57   	 56.32   	 396.74		 48.08   	 193.29		
 37.54   	 40.28   	 57.90   	 305.19		 48.85   	  81.38		
 39.06   	 48.52   	 59.12   	 264.50		 49.18   	  40.69		
 41.50   	 57.98   	 60.18   	 279.75		 49.34   	  71.21		
 44.56   	 67.75   	 61.30   	 284.84		 49.62   	  81.38		
 46.69   	 77.21   	 62.44   	 239.06		 49.95   	  40.69		
 47.30   	 85.75   	 63.40   	 213.63		 50.11   	  20.35		
 45.47   	 93.38   	 64.25   	 213.63		 50.19   	  55.95		
 42.11   	100.71   	 65.11   	 208.54		 50.42   	  71.21		
 39.06   	108.34   	 65.94   	 188.20		 50.70   	  20.35		
 38.45   	116.27   	 66.69   	 147.51		 50.78   	   0.00		
 39.98   	124.82   	 67.28   	 142.42		 50.78   	  35.61		
 42.11   	133.06   	 67.85   	 132.25		 50.93   	  66.12		
 43.33   	140.38   	 68.38   	 167.85		 51.19   	  81.38		
 42.72   	154.42   	 69.05   	  61.04		 51.52   	   5.09		
 43.03   	162.05   	 69.30   	  55.95		 51.54   	   5.09		
 44.25   	170.59   	 69.52   	  30.52		 51.56(S)	  -5.09		
 45.78   	179.14   	 69.64(S)	 -25.43		 51.54   	 -35.61		
 47.30   	187.07   	 69.54   	 -55.95		 51.39   	 -55.95		
 48.52   	194.40   	 69.32   	 -55.95		 51.17   	 -40.69		
 48.83   	201.11   	 69.09   	 -76.30		 51.01   	 -50.86		
 48.83   	206.91   	 68.79   	 -96.64		 50.80   	 -50.86		
 47.91   	210.88   	 68.40   	-106.82		 50.60   	 -55.95		
 45.78   	211.18   	 67.98   	 -96.64		 50.38   	 -86.47		
 43.03   	206.60   	 67.59   	 -86.47		 50.03   	-101.73		
 40.28   	196.53   	 67.24   	 -96.64		 49.62   	-101.73		
 37.54   	181.27   	 66.86   	 -76.30		 49.22   	 -96.64		
 33.87   	161.74   	 66.55   	 -81.38		 48.83   	 -86.47		
 28.38   	138.85   	 66.23   	-116.99		 48.48   	-101.73		
 21.06   	112.92   	 65.76   	-127.16		 48.08   	-111.90		
 13.12   	 86.06   	 65.25   	 -86.47		 47.63   	-106.82		
  6.71   	 59.51   	 64.90   	 -45.78		 47.20   	-101.73		
  2.44   	 35.71   	 64.72   	 -61.04		 46.80   	-132.25		
 -0.61   	 15.26   	 64.48   	 -96.64		 46.27   	-183.11		
 -3.97   	 -2.75   	 64.09   	 -86.47		 45.53   	-213.63		
 -8.24   	-19.84   	 63.74   	 -66.12		 44.68   	-203.46		
-12.82   	-36.01   	 63.48   	 -61.04		 43.87   	-228.89		
-16.17   	-50.96   	 63.23   	 -76.30		 42.95   	-330.62		
-17.09   	-61.95   	 62.93   	-198.37		 41.63   	-961.34		
-16.48   	-72.94   	 62.14   	-127.16		 37.78   	-605.29		
-17.70   	-76.60   	 61.63   	-132.25		 35.36   	-625.63		
-20.45   	-81.79   	 61.10   	-157.68		 32.86   	-656.15		
-22.28   	-87.89   	 60.47   	-208.54		 30.23   	-696.84		
-21.97   	-93.38   	 59.63   	-249.24		 27.45   	-686.67		
-19.84   	-96.13   	 58.64   	-284.84		 24.70   	-640.89		
-17.09   	-96.13   	 57.50   	-320.45		 22.14   	-686.67		
-15.56   	-94.60   	 56.22   	-340.79		 19.39   	-808.75		
-15.87   	-94.30   	 54.85   	-325.53		 16.15   	-915.56		
-18.01   	-95.83   	 53.55   	-249.24		 12.49   	-798.57		
-19.84   	-98.88   	 52.55   	-183.11		  9.30   	-315.36		
-20.45   	-102.23   	 51.82   	-147.51		  8.04   	 116.99		
-20.14   	-104.37   	 51.23   	-122.07		  8.50   	 101.73		
-19.23   	-104.98   	 50.74   	 -81.38		  8.91   	-152.59		
-18.62   	-104.98   	 50.42   	 -61.04		  8.30   	-284.84		
-17.70   	-104.68   	 50.17   	 -50.86		  7.16   	-172.94		
-14.04   	-103.76   	 49.97   	 -50.86		  6.47   	  30.52		
 -5.80   	-100.10   	 49.77   	 -71.21		  6.59   	  81.38		
  7.32   	-93.08   	 49.48   	 -76.30		  6.92   	 -20.35		
 23.19   	-83.01   	 49.18   	 -66.12		  6.84   	-106.82		
 39.37   	-71.41   	 48.91   	 -55.95		  6.41   	 -86.47		
 54.63   	-57.37   	 48.69   	 -66.12		  6.06   	 -20.35		
 68.36   	-37.23   	 48.42   	 -81.38		  5.98(D)	  45.78		
 80.57   	 -8.85   	 48.10   	 -81.38		  6.16   	  66.12		
 88.50   	 21.97   	 47.77   	-157.68		  6.43   	 152.59		
 83.62   	 36.62   	 47.14   	 -76.30		  7.04   	 162.77		
 72.33   	  7.63   	 46.84   	 -55.95		  7.69   	 223.80		
 58.59   	-33.26   	 46.61   	 -40.69		  8.59   	 162.77		
 41.81   	-69.27   	 46.45   	 -61.04		  9.24   	  15.26		
 21.06   	-91.25   	 46.21   	 -76.30		  9.30   	-162.77		
 -3.05   	-101.62   	 45.90   	 -71.21		  8.65   	-300.10		
-25.63   	-108.03   	 45.62   	 -45.78		  7.45   	-244.15		
-40.59   	-114.44   	 45.43   	 -30.52		  6.47   	 -81.38		
-45.78   	-119.63   	 45.31   	 -61.04		  6.14   	  40.69		
-43.95   	-122.07   	 45.07   	 -71.21		  6.31   	 101.73		
-41.81   	-122.07   	 44.78   	 -50.86		  6.71   	 132.25		
-43.03   	-122.07   	 44.58   	 -25.43		  7.24   	 147.51		
-46.08   	-123.29   	 44.48   	 -35.61		  7.83   	 167.85		
-48.52   	-126.04   	 44.33   	 -66.12		  8.50   	 178.03		
-48.83   	-128.48   	 44.07   	 -61.04		  9.22   	 167.85		
-47.61   	-129.09   	 43.82   	 -55.95		  9.89   	 106.82		
-45.78   	-127.87   	 43.60   	 -55.95		 10.32   	 -10.17		
-44.86   	-124.21   	 43.38   	 -71.21		 10.27   	 -71.21		
-44.56   	-119.32   	 43.09   	 -66.12		  9.99   	 -10.17		
-45.78   	-116.88   	 42.83   	 -35.61		  9.95(E)	 101.73		
-46.39   	-126.65   	 42.69   	 -45.78		 10.36   	 167.85		
-39.98   	-164.18   	 42.50   	 -61.04		 11.03   	 172.94		
-10.99   	-227.36   	 42.26   	 -50.86		 11.72   	 132.25		
 58.90   	-264.28   	 42.05   	 -20.35		 12.25   	 127.16		
172.73   	-175.78   	 41.97   	 -25.43		 12.76   	 157.68		
286.87   	111.08   	 41.87   	 -40.69		 13.39   	 132.25		
313.11   	544.74   	 41.71   	 -50.86		 13.92   	  66.12		
176.70   	917.66(R)	 41.51   	 -61.04		 14.18   	 -91.56		
-487.67   	566.71   	 41.26   	 -25.43		 13.81   	-239.06		
-758.97   	-108.64   	 41.16   	 -61.04		 12.86   	-325.53		
-820.31   	-692.75   	 40.92   	 -76.30		 11.56   	-208.54		
-674.13   	-877.99   	 40.61   	 -40.69		 10.72   	  15.26		
-420.23   	-628.05   	 40.45   	 -25.43		 10.78   	 106.82		
-181.58   	-184.63   	 40.35   	 -55.95		 11.21   	  20.35		
-34.48   	136.41   	 40.12   	 -76.30		 11.29   	   5.09		
 16.17   	184.33   	 39.82   	 -61.04		 11.31   	 198.37		
 10.38   	 39.06   	 39.57   	 -35.61		 12.11   	 503.56		
 -8.85   	-115.66   	 39.43   	 -30.52		 14.12   	 732.45		
-17.40   	-159.30   	 39.31   	 -45.78		 17.05   	 824.00		
-11.90   	-101.01   	 39.12   	 -35.61		 20.35   	 656.15		
  0.31   	-22.28   	 38.98   	  -5.09		 22.97   	  61.04		
