SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  DAO     	  DAO'		  RV     	  RV'		
 56.03   	 -91.56		 38.45   	  40.69		
 55.67   	-122.07		 38.62   	 -25.43		
 55.18   	-127.16		 38.51   	 -35.61		
 54.67   	-127.16		 38.37   	  20.35		
 54.16   	-132.25		 38.45   	  30.52		
 53.63   	-122.07		 38.58   	   0.00		
 53.14   	 -96.64		 38.58   	  10.17		
 52.76   	 -61.04		 38.62   	  50.86		
 52.51   	 -20.35		 38.82   	  40.69		
 52.43   	 -10.17		 38.98   	   5.09		
 52.39   	  10.17		 39.00   	 -30.52		
 52.43   	  50.86		 38.88   	  -5.09		
 52.63   	  81.38		 38.86   	  10.17		
 52.96   	  81.38		 38.90   	 -35.61		
 53.29   	  86.47		 38.76   	 -91.56		
 53.63   	 116.99		 38.39   	-132.25		
 54.10   	 137.33		 37.86   	-147.51		
 54.65   	 137.33		 37.27   	-122.07		
 55.20   	 127.16		 36.79   	-132.25		
 55.71   	 101.73		 36.26   	-203.46		
 56.11   	  86.47		 35.44   	-239.06		
 56.46   	 152.59		 34.49   	-467.95		
 57.07   	  35.61		 32.61   	-203.46		
 57.21   	   0.00		 31.80   	-223.80		
 57.21   	 -10.17		 30.91   	-228.89		
 57.17   	 -20.35		 29.99   	-223.80		
 57.09   	 -45.78		 29.09   	-239.06		
 56.91   	 -91.56		 28.14   	-274.67		
 56.54   	-116.99		 27.04   	-315.36		
 56.07   	-132.25		 25.78   	-279.75		
 55.54   	-157.68		 24.66   	-203.46		
 54.91   	-172.94		 23.85   	-228.89		
 54.22   	-183.11		 22.93   	-356.05		
 53.49   	-193.29		 21.51   	-417.09		
 52.72   	-218.72		 19.84   	-269.58		
 51.84   	-264.50		 18.76   	-152.59		
 50.78   	-305.19		 18.15   	-244.15		
 49.56   	-295.01		 17.17   	-381.48		
 48.38   	-203.46		 15.65   	-427.26		
 47.57   	-127.16		 13.94   	-300.10		
 47.06   	 -96.64		 12.74   	-142.42		
 46.67   	 -76.30		 12.17   	-137.33		
 46.37   	 -45.78		 11.62   	-239.06		
 46.18   	   5.09		 10.66   	-218.72		
 46.21   	  40.69		  9.79   	-101.73		
 46.37   	  40.69		  9.38   	 -35.61		
 46.53   	  25.43		  9.24   	 -40.69		
 46.63   	  30.52		  9.07   	 -81.38		
 46.75   	  50.86		  8.75   	-116.99		
 46.96   	  45.78		  8.28   	 -91.56		
 47.14   	  15.26		  7.91   	 -66.12		
 47.20   	   0.00		  7.65   	-101.73		
 47.20   	  -5.09		  7.24   	-127.16		
 47.18   	 -15.26		  6.73   	-122.07		
 47.12   	 -30.52		  6.25   	-101.73		
 47.00   	 -50.86		  5.84   	 -91.56		
 46.80   	 -66.12		  5.47   	 -50.86		
 46.53   	 -66.12		  5.27   	  20.35		
 46.27   	 -71.21		  5.35   	 137.33		
 45.98   	 -81.38		  5.90   	 213.63		
