SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LFA     	  LFA'		  RV     	  RV'		
 52.49   	-152.89   	 78.33   	 -66.12		 54.83   	   0.00		
 29.60   	-189.51   	 78.07   	   5.09		 54.83   	   5.09		
 -3.66   	-218.51   	 78.09   	  71.21		 54.85   	  10.17		
-42.11   	-239.56   	 78.37   	 101.73		 54.89   	   5.09		
-75.99   	-254.82   	 78.78   	  66.12		 54.91   	   5.09		
-99.49   	-267.64   	 79.04   	  20.35		 54.93   	  10.17		
-114.44   	-279.24   	 79.12   	  25.43		 54.97   	   5.09		
-124.51   	-288.70   	 79.23   	   5.09		 54.99   	  10.17		
-127.26   	-293.27   	 79.25   	 -35.61		 55.04(S)	   0.00		
-110.78   	-289.31   	 79.10   	 -10.17		 55.04   	   0.00		
-82.70   	-284.73   	 79.06   	  15.26		 55.04   	 -10.17		
-53.10   	-281.68   	 79.12   	 -45.78		 54.99   	 -25.43		
-33.87   	-281.07   	 78.94   	 -35.61		 54.89   	 -40.69		
-29.91   	-280.76   	 78.80   	  10.17		 54.73   	 -61.04		
-39.37   	-279.85   	 78.84   	  10.17		 54.49   	 -81.38		
-55.24   	-277.40   	 78.88   	  10.17		 54.16   	-111.90		
-70.80   	-273.44   	 78.92   	   0.00		 53.71   	-142.42		
-82.09   	-269.47   	 78.92   	 -50.86		 53.14   	-172.94		
-87.59   	-266.11   	 78.72   	 -71.21		 52.45   	-213.63		
-87.89   	-261.84   	 78.43   	 -55.95		 51.60   	-249.24		
-83.62   	-256.96   	 78.21   	-101.73		 50.60   	-284.84		
-76.90   	-251.77   	 77.80   	-137.33		 49.46   	-315.36		
-69.27   	-247.80   	 77.25   	-116.99		 48.20   	-350.97		
-60.12   	-245.97   	 76.79   	-142.42		 46.80   	-381.48		
-48.83   	-246.58   	 76.22   	-167.85		 45.27   	-412.00		
-36.01   	-247.50   	 75.54   	-157.68		 43.62   	-432.35		
-24.11   	-245.97   	 74.91   	-152.59		 41.89   	-452.69		
-16.78   	-241.09   	 74.30   	-183.11		 40.08   	-467.95		
-14.04   	-234.07   	 73.57   	-188.20		 38.21   	-478.13		
-11.29   	-225.22   	 72.82   	-183.11		 36.30   	-488.30		
 -4.58   	-214.54   	 72.09   	-183.11		 34.34   	-488.30		
  5.49   	-200.50   	 71.35   	-193.29		 32.39   	-493.39		
 11.60   	-182.50   	 70.58   	-442.52		 30.42   	-539.16		
 -8.24   	-144.04   	 68.81   	-203.46		 28.26   	-523.90		
-27.16   	-130.00   	 68.00   	-218.72		 26.16   	-498.47		
-42.11   	-119.63   	 67.12   	-233.98		 24.17   	-478.13		
-50.66   	-108.95   	 66.18   	-223.80		 22.26   	-452.69		
-54.32   	-93.38   	 65.29   	-178.03		 20.45   	-432.35		
-54.32   	-72.33   	 64.58   	-162.77		 18.72   	-401.83		
-49.74   	-49.74   	 63.93   	-172.94		 17.11   	-381.48		
-39.67   	-32.96   	 63.23   	-147.51		 15.58   	-356.05		
-26.55   	-28.38   	 62.64   	-122.07		 14.16   	-330.62		
-15.87   	-37.84   	 62.16   	-122.07		 12.84   	-300.10		
-12.51   	-57.68   	 61.67   	 -71.21		 11.64   	-274.67		
-16.78   	-80.87   	 61.38   	 -30.52		 10.54   	-249.24		
-24.72   	-103.45   	 61.26   	 -81.38		  9.54   	-223.80		
-32.96   	-129.09   	 60.94   	 -81.38		  8.65   	-198.37		
-42.42   	-164.49   	 60.61   	 -66.12		  7.85   	-172.94		
-56.46   	-212.10   	 60.35   	 -91.56		  7.16   	-152.59		
-78.74   	-263.98   	 59.98   	 -71.21		  6.55   	-132.25		
-107.42   	-305.18   	 59.69   	 -76.30		  6.02   	-106.82		
-135.50   	-323.18   	 59.39   	-116.99		  5.60   	 -86.47		
-155.33   	-317.99   	 58.92   	 -86.47		  5.25   	 -71.21		
-162.96   	-301.51   	 58.58   	 -71.21		  4.96   	 -55.95		
-159.00   	-288.09   	 58.29   	 -76.30		  4.74   	 -40.69		
-146.18   	-284.73   	 57.99   	 -45.78		  4.58   	 -30.52		
-126.65   	-289.31   	 57.80   	 -40.69		  4.46   	 -15.26		
-103.76   	-294.80   	 57.64   	 -20.35		  4.39   	  -5.09		
-82.70   	-296.33   	 57.56   	 -15.26		  4.37(D)	   5.09		
-66.83   	-292.66   	 57.50   	 -61.04		  4.39   	  20.35		
-56.76   	-285.64   	 57.25   	 -45.78		  4.48   	  30.52		
-50.66   	-277.71   	 57.07   	 -25.43		  4.60   	  35.61		
-44.56   	-270.08   	 56.97   	   5.09		  4.74   	  45.78		
-36.62   	-264.59   	 56.99   	 -20.35		  4.92   	  45.78		
-27.77   	-261.84   	 56.91   	 -66.12		  5.11   	  50.86		
-19.53   	-261.84   	 56.64   	 -15.26		  5.31   	  61.04		
 -7.93   	-267.64   	 56.58   	  15.26		  5.55   	  61.04		
 17.70   	-283.51   	 56.64   	 -30.52		  5.80   	  61.04		
 68.66   	-306.40   	 56.52   	 -10.17		  6.04   	  66.12		
156.25   	-319.21   	 56.48   	 -10.17		  6.31   	  66.12		
284.12   	-289.61   	 56.44   	 -25.43		  6.57   	  61.04		
433.35   	-180.66   	 56.34   	 -10.17		  6.82   	  61.04		
551.15   	 21.06   	 56.30   	 -25.43		  7.06   	  61.04		
564.88   	289.61   	 56.20   	 -35.61		  7.30   	  55.95		
409.55   	560.00   	 56.05   	 -10.17		  7.53   	  55.95		
-362.85   	729.68(R)	 56.01   	 -35.61		  7.75(E)	  55.95		
-746.77   	532.84   	 55.87   	 -35.61		  7.98   	  50.86		
-938.42   	207.52   	 55.73   	 -20.35		  8.18   	  50.86		
-881.35   	-124.82   	 55.65   	 -40.69		  8.38   	  40.69		
-634.46   	-342.41   	 55.48   	 -45.78		  8.55   	  40.69		
-331.42   	-391.54   	 55.30   	 -30.52		  8.71   	  30.52		
-96.13   	-311.58   	 55.18   	 -40.69		  8.83   	  30.52		
 19.84   	-189.51   	 55.02   	 -15.26		  8.95   	  25.43		
 38.76   	-101.93   	 54.95   	  15.26		  9.05   	  20.35		
 14.65   	-79.96   	 55.02   	 -35.61		  9.14   	  15.26		
 -7.93   	-107.12   	 54.87   	 -20.35		  9.20   	  20.35		
-14.34   	-142.52   	 54.79   	  15.26		  9.28   	  20.35		
-10.68   	-156.25   	 54.85   	 -45.78		  9.36   	  25.43		
 -7.32   	-144.35   	 54.67   	 -45.78		  9.46   	  30.52		
 -6.71   	-120.85   	 54.49   	  20.35		  9.58   	  35.61		
 -3.66   	-101.62   	 54.57   	 -30.52		  9.73   	  40.69		
  5.19   	-93.69   	 54.45   	 -81.38		  9.89   	  40.69		
 20.14   	-93.69   	 54.12   	 -25.43		 10.05   	  50.86		
 36.62   	-91.86   	 54.02   	 -10.17		 10.25   	  61.04		
 49.13   	-82.70   	 53.98   	 -35.61		 10.50   	  76.30		
 55.54   	-68.05   	 53.83   	  -5.09		 10.80   	 111.90		
 57.07   	-54.32   	 53.81   	 -10.17		 11.25   	 137.33		
 57.37   	-45.78   	 53.77   	 -30.52		 11.80   	 178.03		
 60.12   	-42.11   	 53.65   	   5.09		 12.51   	 203.46		
 65.31   	-40.89   	 53.67   	 -55.95		 13.33   	 284.84		
 69.27   	-35.71   	 53.45   	 -15.26		 14.47   	 315.36		
 62.87   	-28.38   	 53.39   	 -30.52		 15.73   	 345.88		
 53.41   	-18.62   	 53.27   	 -20.35		 17.11   	 371.31		
 45.47   	 -7.63   	 53.18   	  -5.09		 18.60   	 406.92		
 41.20   	  3.05   	 53.16   	 -15.26		 20.22   	 427.26		
 40.89   	 13.43   	 53.10   	 -30.52		 21.93   	 447.61		
 43.64   	 23.80   	 52.98   	 -45.78		 23.72   	 452.69		
 50.35   	 35.40   	 52.80   	 -55.95		 25.53   	 457.78		
 61.34   	 48.22   	 52.57   	 -55.95		 27.37   	 452.69		
 72.94   	 61.04   	 52.35   	 -45.78		 29.18   	 457.78		
 79.96   	 72.94   	 52.17   	 -15.26		 31.01   	 447.61		
 82.09   	 83.01   	 52.11   	   0.00		 32.80   	 447.61		
 84.53   	 91.86   	 52.11   	 -55.95		 34.59   	 437.43		
 93.99   	100.10   	 51.88   	 -35.61		 36.34   	 422.18		
112.30   	109.56   	 51.74   	  40.69		 38.03   	 406.92		
133.97   	120.54   	 51.90   	   0.00		 39.65   	 386.57		
151.98   	132.45   	 51.90   	 -40.69		 41.20   	 366.22		
163.57   	144.35   	 51.74   	   0.00		 42.67   	 345.88		
172.73   	155.03   	 51.74   	  -5.09		 44.05   	 320.45		
183.72   	165.71   	 51.72   	 -20.35		 45.33   	 300.10		
197.75   	177.92   	 51.64   	  10.17		 46.53   	 274.67		
211.79   	192.57   	 51.68   	  -5.09		 47.63   	 249.24		
222.17   	209.05   	 51.66   	 -25.43		 48.63   	 228.89		
227.05   	225.83   	 51.56(D)	  15.26		 49.54   	 203.46		
228.58   	240.78   	 51.62   	 172.94		 50.36   	 183.11		
230.10   	261.54   	 52.31   	 137.33		 51.09   	 162.77		
226.44   	269.17   	 52.86   	 178.03		 51.74   	 137.33		
218.51   	276.18   	 53.57   	 320.45		 52.29   	 127.16		
211.49   	282.90   	 54.85   	 432.35		 52.80   	 106.82		
212.71   	289.00   	 56.58   	 534.08		 53.22   	  91.56		
224.61   	294.49   	 58.72   	 696.84		 53.59   	  76.30		
241.39   	298.77   	 61.51   	 793.49		 53.90   	  71.21		
253.30   	302.43   	 64.68   	 844.35		 54.18   	  55.95		
254.52   	304.87   	 68.06   	 890.13		 54.40   	  50.86		
245.67   	303.96   	 71.62   	 793.49		 54.61   	  45.78		
231.63   	296.94   	 74.79   	 620.55		 54.79   	  40.69		
214.84   	281.37   	 77.27   	 437.43		 54.95   	  40.69		
193.48   	254.82   	 79.02   	 198.37		 55.12   	  35.61		
166.63   	217.90   	 79.82(S)	  -5.09		 55.26   	  30.52		
135.19   	173.03   	 79.80   	-127.16		 55.38   	  30.52		
102.23   	124.82   	 79.29   	-233.98		 55.50   	  30.52		
 67.44   	 77.82   	 78.35   	-249.24		 55.63   	  30.52		
 29.30   	 35.40   	 77.35   	-188.20		 55.75   	  25.43		
-11.90   	 -1.83   	 76.60   	-142.42		 55.85   	  30.52		
-50.96   	-34.79   	 76.03   	 -76.30		 55.97   	  30.52		
-79.04   	-65.31   	 75.73   	  20.35		 56.09   	  30.52		
-90.33   	-93.99   	 75.81   	  71.21		 56.22   	  30.52		
-86.67   	-120.85   	 76.09   	  96.64		 56.34   	  30.52		
-75.99   	-144.35   	 76.48   	  86.47		 56.46   	  35.61		
-66.53   	-163.27   	 76.83   	  91.56		 56.60   	  35.61		
-64.39   	-184.63   	 77.19   	 -35.61		 56.74   	  35.61		
-68.97   	-189.21   	 77.05   	 -30.52		 56.89   	  25.43		
-71.11   	-191.04   	 76.93   	 -30.52		 56.99   	  25.43		
-68.36   	-191.04   	 76.81   	 -71.21		 57.09   	  15.26		
-61.95   	-189.82   	 76.52   	 -66.12		 57.15   	  10.17		
-56.76   	-188.29   	 76.26   	 -30.52		 57.19(S)	  -5.09		
-57.07   	-186.46   	 76.13   	 -40.69		 57.17   	 -20.35		
-62.26   	-184.02   	 75.97   	 -40.69		 57.09   	 -40.69		
-67.44   	-180.05   	 75.81   	   5.09		 56.93   	 -61.04		
-67.75   	-173.95   	 75.83   	  45.78		 56.68   	 -91.56		
-62.26   	-165.41   	 76.01   	  20.35		 56.32   	-111.90		
-55.24   	-156.25   	 76.09   	 -55.95		 55.87   	-147.51		
-52.19   	-148.32   	 75.87   	 -81.38		 55.28   	-172.94		
-56.15   	-142.82   	 75.54   	 -55.95		 54.59   	-208.54		
-65.61   	-139.16   	 75.32   	 -91.56		 53.75   	-244.15		
-75.38   	-136.72   	 74.95   	-132.25		 52.78   	-274.67		
-80.57   	-133.06   	 74.42   	-111.90		 51.68   	-315.36		
-80.87   	-127.56   	 73.98   	-111.90		 50.42   	-345.88		
-79.35   	-120.54   	 73.53   	-132.25		 49.03   	-381.48		
-78.74   	-113.53   	 73.00   	-147.51		 47.51   	-412.00		
-78.13   	-107.73   	 72.41   	-132.25		 45.86   	-427.26		
-72.02   	-103.45   	 71.88   	-132.25		 44.15   	-452.69		
-57.98   	-99.79   	 71.35   	-167.85		 42.34   	-467.95		
-39.98   	-94.30   	 70.68   	-203.46		 40.47   	-478.13		
-25.02   	-84.84   	 69.87   	-447.61		 38.56   	-559.51		
-11.60   	-51.57   	 68.08   	-213.63		 36.32   	-549.34		
 -6.71   	-30.52   	 67.22   	-218.72		 34.12   	-544.25		
 -1.83   	 -9.77   	 66.35   	-239.06		 31.94   	-534.08		
 -1.83   	  7.93   	 65.39   	-223.80		 29.81   	-518.82		
 -9.16   	 23.80   	 64.50   	-188.20		 27.73   	-503.56		
-20.75   	 38.76   	 63.74   	-188.20		 25.72   	-488.30		
-31.13   	 54.63   	 62.99   	-167.85		 23.76   	-462.87		
-38.76   	 71.72   	 62.32   	-142.42		 21.91   	-447.61		
-48.22   	 87.89   	 61.75   	-147.51		 20.12   	-417.09		
-62.56   	 98.27   	 61.16   	 -96.64		 18.45   	-401.83		
-79.04   	 97.96   	 60.77   	 -30.52		 16.85   	-371.31		
-89.72   	 85.75   	 60.65   	 -61.04		 15.36   	-350.97		
-88.50   	 63.78   	 60.41   	 -76.30		 13.96   	-325.53		
-79.35   	 36.01   	 60.10   	 -40.69		 12.66   	-295.01		
-72.02   	  3.36   	 59.94   	 -86.47		 11.48   	-274.67		
-72.94   	-36.01   	 59.59   	-116.99		 10.38   	-249.24		
-79.04   	-84.23   	 59.12   	 -71.21		  9.38   	-228.89		
-81.79   	-136.41   	 58.84   	 -76.30		  8.46   	-203.46		
-79.04   	-180.66   	 58.53   	-137.33		  7.65   	-183.11		
-77.21   	-204.77   	 57.99   	-111.90		  6.92   	-162.77		
-85.14   	-205.69   	 57.54   	 -25.43		  6.27   	-132.25		
-104.37   	-192.26   	 57.44   	 -45.78		  5.74   	-111.90		
-126.34   	-178.53   	 57.25   	 -71.21		  5.29   	 -91.56		
-138.55   	-174.26   	 56.97   	 -71.21		  4.92   	 -66.12		
-136.11   	-178.22   	 56.68   	 -66.12		  4.66   	 -50.86		
-124.51   	-183.72   	 56.42   	 -20.35		  4.46   	 -30.52		
-113.53   	-184.94   	 56.34   	 -40.69		  4.33   	 -15.26		
-108.64   	-182.80   	 56.17   	 -76.30		  4.27   	 -10.17		
-106.51   	-180.05   	 55.87   	 -25.43		  4.23(D)	   0.00		
-101.01   	-179.75   	 55.77   	   5.09		  4.23   	  10.17		
-88.20   	-180.05   	 55.79   	 -10.17		  4.27   	  15.26		
-72.02   	-178.83   	 55.75   	 -30.52		  4.33   	  30.52		
-60.12   	-175.17   	 55.63   	 -40.69		  4.46   	  35.61		
-58.90   	-170.59   	 55.46   	 -40.69		  4.60   	  50.86		
-65.00   	-169.98   	 55.30   	 -30.52		  4.80   	  55.95		
-63.48   	-181.58   	 55.18   	 -20.35		  5.03   	  61.04		
-35.71   	-207.21   	 55.10   	  10.17		  5.27   	  61.04		
 31.74   	-235.90   	 55.14   	  -5.09		  5.51   	  61.04		
144.04   	-240.17   	 55.12   	 -55.95		  5.76   	  61.04		
292.97   	-181.27   	 54.89   	 -35.61		  6.00   	  66.12		
444.34   	-29.30   	 54.75   	  10.17		  6.27   	  66.12		
534.67   	211.49   	 54.79   	  10.17		  6.53   	  71.21		
490.72   	497.13   	 54.83   	  -5.09		  6.82   	  71.21		
257.57   	745.24   	 54.81   	-122.07		  7.10   	  71.21		
-606.69   	769.96(R)	 54.32   	  15.26		  7.39(E)	  66.12		
-959.17   	504.46   	 54.38   	  10.17		  7.65   	  61.04		
-1076.36   	151.37   	 54.43   	 -66.12		  7.89   	  55.95		
-935.97   	-157.78   	 54.16   	 -40.69		  8.12   	  55.95		
-634.16   	-318.60   	 54.00   	 -25.43		  8.34   	  45.78		
-319.52   	-313.42   	 53.90   	 -30.52		  8.52   	  45.78		
-103.45   	-208.13   	 53.77   	  -5.09		  8.71   	  35.61		
-14.95   	-92.16   	 53.75   	 -25.43		  8.85   	  35.61		
-14.65   	-29.30   	 53.65   	 -40.69		  8.99   	  30.52		
-43.64   	-31.74   	 53.49   	   5.09		  9.11   	  30.52		
-63.48   	-68.97   	 53.51   	 -20.35		  9.24   	  30.52		
-65.31   	-100.10   	 53.43   	 -30.52		  9.36   	  35.61		
-56.46   	-104.98   	 53.31   	   0.00		  9.50   	  45.78		
-47.91   	-88.20   	 53.31   	 -35.61		  9.68   	  50.86		
-43.95   	-66.53   	 53.16   	 -50.86		  9.89   	  50.86		
-43.33   	-52.80   	 52.96   	 -25.43		 10.09   	  50.86		
-41.81   	-50.05   	 52.86   	 -30.52		 10.29   	  50.86		
-36.32   	-51.57   	 52.74   	 -10.17		 10.50   	  55.95		
-27.16   	-49.13   	 52.70   	  10.17		 10.72   	  76.30		
-17.70   	-40.59   	 52.74   	 -40.69		 11.03   	  96.64		
-11.60   	-28.99   	 52.57   	 -61.04		 11.41   	 127.16		
 -9.16   	-17.09   	 52.33   	  10.17		 11.92   	 162.77		
 -7.32   	 -6.10   	 52.37   	  10.17		 12.57   	 193.29		
 -3.05   	  4.58   	 52.41   	 -50.86		 13.35   	 223.80		
  3.05   	 14.34   	 52.21   	 -40.69		 14.24   	 310.27		
  7.93   	 32.65   	 52.04   	 -25.43		 15.48   	 345.88		
  6.41   	 43.64   	 51.94   	 -40.69		 16.87   	 366.22		
  8.54   	 56.46   	 51.78   	 -35.61		 18.33   	 401.83		
 16.78   	 70.19   	 51.64   	  -5.09		 19.94   	 427.26		
 29.91   	 83.31   	 51.62   	   0.00		 21.65   	 447.61		
 42.42   	 95.52   	 51.62   	 -20.35		 23.44   	 467.95		
 49.13   	106.81   	 51.54   	 -30.52		 25.31   	 473.04		
 48.83   	118.71   	 51.41   	 -35.61		 27.20   	 473.04		
 46.08   	130.62   	 51.27   	 -10.17		 29.09   	 473.04		
 46.08   	141.91   	 51.23   	   0.00		 30.99   	 467.95		
 53.41   	152.28   	 51.23   	 -30.52		 32.86   	 457.78		
 69.58   	162.05   	 51.11   	 -30.52		 34.69   	 452.69		
 93.69   	173.03   	 50.99   	 -30.52		 36.50   	 442.52		
121.15   	187.07   	 50.86   	 -55.95		 38.27   	 422.18		
145.87   	204.77   	 50.64   	   5.09		 39.96   	 406.92		
162.96   	225.22   	 50.66   	  15.26		 41.59   	 386.57		
170.29   	245.06   	 50.72   	 -55.95		 43.13   	 356.05		
170.59   	261.54   	 50.50   	 -25.43		 44.56   	 335.71		
167.24   	273.74   	 50.40(D)	  20.35		 45.90   	 315.36		
165.10   	283.20   	 50.48   	   0.00		 47.16   	 284.84		
166.93   	292.36   	 50.48   	 -15.26		 48.30   	 259.41		
172.73   	303.04   	 50.42   	  15.26		 49.34   	 239.06		
181.88   	315.25   	 50.48   	  40.69		 50.29   	 208.54		
192.57   	327.15   	 50.64   	  25.43		 51.13   	 193.29		
202.94   	337.22   	 50.74   	 162.77		 51.90   	 167.85		
220.95   	353.70   	 51.39   	 193.29		 52.57   	 147.51		
227.36   	362.24   	 52.17   	 239.06		 53.16   	 127.16		
230.41   	371.40   	 53.12   	 345.88		 53.67   	 116.99		
229.49   	381.47   	 54.51   	 462.87		 54.14   	  96.64		
228.58   	392.76   	 56.36   	 595.11		 54.53   	  86.47		
231.93   	404.97   	 58.74   	 752.79		 54.87   	  71.21		
241.39   	416.87   	 61.75   	 854.52		 55.16   	  66.12		
253.60   	426.03   	 65.17   	 869.78		 55.42   	  55.95		
261.84   	428.77   	 68.65   	 854.52		 55.65   	  45.78		
260.93   	422.97   	 72.06   	 747.71		 55.83   	  45.78		
245.97   	406.49   	 75.06   	 569.68		 56.01   	  35.61		
216.06   	379.64   	 77.33   	 361.14		 56.15   	  35.61		
173.95   	344.24   	 78.78   	 116.99		 56.30   	  35.61		
124.21   	302.12   	 79.25(S)	 -86.47		 56.44   	  30.52		
 72.63   	256.35   	 78.90   	-193.29		 56.56   	  30.52		
 24.72   	209.66   	 78.13   	-239.06		 56.68   	  30.52		
-16.48   	165.10   	 77.17   	-279.75		 56.81   	  30.52		
-51.27   	124.21   	 76.05   	-228.89		 56.93   	  35.61		
-78.13   	 85.75   	 75.14   	-101.73		 57.07   	  35.61		
-94.30   	 49.13   	 74.73   	 -40.69		 57.21   	  35.61		
-97.05   	 14.04   	 74.57   	  20.35		 57.35   	  35.61		
-88.50   	-17.40   	 74.65   	  91.56		 57.50   	  40.69		
-74.16   	-43.33   	 75.01   	 101.73		 57.66   	  35.61		
-61.04   	-62.87   	 75.42   	  91.56		 57.80   	  35.61		
-54.63   	-78.13   	 75.79   	 127.16		 57.94   	  40.69		
-69.58   	-105.29   	 76.30   	 -20.35		 58.11   	  35.61		
-84.53   	-118.10   	 76.22   	 -50.86		 58.25   	  30.52		
-98.57   	-128.78   	 76.01   	 -55.95		 58.37   	  30.52		
-107.73   	-136.11   	 75.79   	 -45.78		 58.49   	  15.26		
-112.61   	-139.16   	 75.60   	 -50.86		 58.56   	  10.17		
-115.97   	-138.55   	 75.40   	 -61.04		 58.60(S)	   0.00		
-120.24   	-135.50   	 75.16   	 -35.61		 58.60   	 -20.35		
-123.60   	-131.53   	 75.01   	  -5.09		 58.51   	 -30.52		
-122.38   	-127.56   	 74.99   	 -10.17		 58.39   	 -61.04		
-114.75   	-123.29   	 74.95   	 -20.35		 58.15   	 -81.38		
-101.62   	-119.02   	 74.87   	   5.09		 57.82   	-111.90		
-86.67   	-114.44   	 74.89   	 -15.26		 57.38   	-142.42		
-71.72   	-110.78   	 74.83   	 -50.86		 56.81   	-172.94		
-57.07   	-108.64   	 74.63   	 -35.61		 56.11   	-203.46		
-42.11   	-107.42   	 74.49   	 -61.04		 55.30   	-233.98		
-29.91   	-105.90   	 74.24   	 -86.47		 54.36   	-274.67		
-23.50   	-101.62   	 73.90   	-106.82		 53.27   	-305.19		
-26.55   	-95.21   	 73.47   	-152.59		 52.04   	-340.79		
-38.76   	-89.11   	 72.86   	-152.59		 50.68   	-381.48		
-54.63   	-86.06   	 72.25   	-137.33		 49.16   	-401.83		
-68.66   	-87.59   	 71.70   	-157.68		 47.55   	-432.35		
-75.68   	-91.86   	 71.07   	-188.20		 45.82   	-452.69		
-73.85   	-95.21   	 70.32   	-183.11		 44.01   	-473.04		
-64.09   	-93.08   	 69.58   	-172.94		 42.12   	-478.13		
-50.66   	-82.70   	 68.89   	-386.57		 40.20   	-564.60		
-32.04   	-44.56   	 67.34   	-223.80		 37.94   	-559.51		
-31.74   	-25.02   	 66.45   	-213.63		 35.71   	-554.42		
-35.10   	 -9.46   	 65.59   	-208.54		 33.49   	-544.25		
-40.28   	  1.53   	 64.76   	-208.54		 31.31   	-534.08		
-46.69   	 11.60   	 63.93   	-203.46		 29.18   	-513.73		
-56.46   	 23.80   	 63.11   	-193.29		 27.12   	-503.56		
-69.89   	 40.28   	 62.34   	-167.85		 25.11   	-478.13		
-82.70   	 60.42   	 61.67   	-122.07		 23.19   	-462.87		
-88.50   	 80.57   	 61.18   	-106.82		 21.34   	-437.43		
-85.14   	 94.30   	 60.75   	-111.90		 19.59   	-417.09		
-76.90   	 97.05   	 60.30   	 -91.56		 17.92   	-391.66		
-72.63   	 87.59   	 59.94   	 -86.47		 16.36   	-366.22		
-77.51   	 69.27   	 59.59   	 -91.56		 14.89   	-345.88		
-87.28   	 47.30   	 59.23   	 -55.95		 13.51   	-315.36		
-93.08   	 22.58   	 59.00   	 -55.95		 12.25   	-289.93		
-87.89   	 -9.46   	 58.78   	 -91.56		 11.09   	-264.50		
-73.85   	-53.10   	 58.41   	 -55.95		 10.03   	-239.06		
-61.04   	-106.20   	 58.19   	 -55.95		  9.07   	-213.63		
-57.37   	-157.17   	 57.97   	 -91.56		  8.22   	-193.29		
-61.34   	-190.73   	 57.60   	 -71.21		  7.45   	-172.94		
-66.53   	-200.20   	 57.31   	 -71.21		  6.75   	-147.51		
-67.75   	-191.35   	 57.03   	-106.82		  6.16   	-127.16		
-68.36   	-177.31   	 56.60   	 -86.47		  5.66   	-101.73		
-75.68   	-169.37   	 56.26   	 -66.12		  5.25   	 -81.38		
-91.86   	-169.37   	 55.99   	 -66.12		  4.92   	 -55.95		
-110.78   	-172.73   	 55.73   	 -45.78		  4.70   	 -40.69		
-124.21   	-174.87   	 55.54   	 -45.78		  4.54   	 -25.43		
-127.56   	-174.26   	 55.36   	 -40.69		  4.44   	 -10.17		
-124.21   	-172.42   	 55.20   	 -10.17		  4.39(D)	   5.09		
-118.71   	-171.51   	 55.16   	  -5.09		  4.42   	   5.09		
-112.00   	-171.20   	 55.14   	 -10.17		  4.44   	  15.26		
-102.23   	-170.90   	 55.10   	  -5.09		  4.50   	  25.43		
-90.64   	-169.07   	 55.08   	   5.09		  4.60   	  30.52		
-80.57   	-165.41   	 55.10   	 -40.69		  4.72   	  35.61		
-73.24   	-161.74   	 54.93   	 -40.69		  4.86   	  45.78		
-58.90   	-164.79   	 54.77   	   5.09		  5.05   	  55.95		
-17.40   	-180.36   	 54.79   	 -25.43		  5.27   	  61.04		
 67.14   	-204.16   	 54.69   	 -55.95		  5.51   	  66.12		
195.92   	-214.23   	 54.47   	 -15.26		  5.78   	  66.12		
351.87   	-173.95   	 54.40   	 -15.26		  6.04   	  66.12		
498.05   	-47.00   	 54.34   	 -10.17		  6.31   	  61.04		
581.36   	172.73   	 54.30   	 -10.17		  6.55   	  66.12		
544.43   	453.49   	 54.26   	 -50.86		  6.82   	  61.04		
338.75   	722.05   	 54.06   	 -76.30		  7.06   	  71.21		
-498.96   	838.32(R)	 53.75   	 -55.95		  7.34(E)	  66.12		
-897.22   	603.94   	 53.53   	   5.09		  7.61   	  61.04		
-1089.17   	248.72   	 53.55   	  -5.09		  7.85   	  55.95		
-1016.24   	-95.83   	 53.53   	 -61.04		  8.08   	  55.95		
-744.32   	-306.09   	 53.29   	 -10.17		  8.30   	  45.78		
-419.31   	-336.91   	 53.24   	  20.35		  8.48   	  45.78		
-173.03   	-239.26   	 53.33   	 -10.17		  8.67   	  45.78		
-54.02   	-106.81   	 53.29   	 -25.43		  8.85   	  40.69		
-30.52   	-18.31   	 53.18   	 -20.35		  9.01   	  40.69		
-37.54   	 -1.53   	 53.10   	 -35.61		  9.18   	  35.61		
-29.30   	-33.57   	 52.96   	 -45.78		  9.32   	  35.61		
  2.14   	-69.58   	 52.78   	 -20.35		  9.46   	  40.69		
 37.23   	-81.48   	 52.70   	 -15.26		  9.62   	  45.78		
 53.71   	-68.36   	 52.63   	 -40.69		  9.81   	  50.86		
 45.47   	-46.69   	 52.47   	 -25.43		 10.01   	  55.95		
 22.89   	-32.65   	 52.37   	  -5.09		 10.23   	  50.86		
  2.44   	-32.04   	 52.35   	 -15.26		 10.44   	  55.95		
 -4.88   	-37.54   	 52.29   	 -25.43		 10.66   	  61.04		
 -0.92   	-38.15   	 52.19   	 -35.61		 10.91   	  76.30		
  3.66   	-29.91   	 52.04   	 -25.43		 11.21   	  96.64		
  0.92   	-16.17   	 51.94   	 -15.26		 11.60   	 132.25		
 -6.71   	 -3.66   	 51.88   	 -25.43		 12.13   	 157.68		
-11.60   	  4.88   	 51.78   	 -40.69		 12.76   	 188.20		
 -9.46   	  9.77   	 51.62   	 -15.26		 13.51   	 218.72		
 -2.75   	 13.12   	 51.56   	 -50.86		 14.38   	 310.27		
 12.51   	 23.80   	 51.35   	  -5.09		 15.63   	 340.79		
 23.50   	 32.65   	 51.33   	 -15.26		 16.99   	 366.22		
