SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
 75.07   	 34.48   	  8.55   	   5.09		 66.84   	 -81.38		
 50.66   	  8.24   	  8.57   	   5.09		 66.51   	 -76.30		
 21.67   	-19.84   	  8.59   	  20.35		 66.21   	 -81.38		
 -5.49   	-41.20   	  8.67   	  20.35		 65.88   	 -86.47		
-26.86   	-54.02   	  8.75   	  25.43		 65.53   	 -81.38		
-42.72   	-61.65   	  8.85   	  25.43		 65.21   	 -81.38		
-55.54   	-67.44   	  8.95   	  30.52		 64.88   	 -86.47		
-68.05   	-72.33   	  9.07   	  30.52		 64.54   	 -86.47		
-79.96   	-75.38   	  9.20   	  35.61		 64.19   	 -86.47		
-89.11   	-76.60   	  9.34   	  30.52		 63.85   	 -81.38		
-93.38   	-76.29   	  9.46   	  40.69		 63.52   	 -86.47		
-94.60   	-77.51   	  9.62   	  30.52		 63.17   	 -81.38		
-100.10   	-83.31   	  9.75   	  35.61		 62.85   	 -81.38		
-116.27   	-84.23   	  9.89   	  30.52		 62.52   	 -76.30		
-136.11   	-42.11   	 10.01   	  35.61		 62.22   	 -81.38		
-133.06   	113.22   	 10.15   	  35.61		 61.89   	 -76.30		
-76.29   	441.28   	 10.29   	  30.52		 61.59   	 -76.30		
 45.47   	891.11   	 10.42   	  30.52		 61.28   	 -71.21		
200.50   	1269.84(R)	 10.54   	  30.52		 61.00   	 -76.30		
317.08   	1039.12   	 10.66   	  35.61		 60.69   	 -76.30		
201.11   	419.62   	 10.80   	  30.52		 60.39   	 -76.30		
 26.25   	-207.82   	 10.93   	  30.52		 60.08   	 -66.12		
-114.14   	-568.54   	 11.05   	  25.43		 59.82   	 -71.21		
