SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-63.48   	-203.25   	 56.56   	 -10.17		 86.37   	 172.94		
-65.31   	-198.97   	 56.52   	 -20.35		 87.06   	 132.25		
-64.70   	-189.21   	 56.44   	 -15.26		 87.59   	 101.73		
-62.56   	-180.36   	 56.38   	 -25.43		 88.00   	  81.38		
-62.26   	-176.70   	 56.28   	 -25.43		 88.32   	  66.12		
-65.61   	-177.00   	 56.17   	 -40.69		 88.59   	  61.04		
-71.11   	-177.00   	 56.01   	 -55.95		 88.83   	  55.95		
-74.46   	-175.48   	 55.79   	 -66.12		 89.05   	  45.78		
-71.11   	-173.34   	 55.52   	 -91.56		 89.24   	  30.52		
-60.12   	-171.20   	 55.16   	-111.90		 89.36   	  25.43		
-47.00   	-168.15   	 54.71   	-147.51		 89.46   	   5.09		
-39.06   	-163.57   	 54.12   	-188.20		 89.48   	 -10.17		
-42.42   	-159.61   	 53.37   	-228.89		 89.44   	 -35.61		
-54.63   	-162.96   	 52.45   	-274.67		 89.30   	 -50.86		
-66.83   	-175.78   	 51.35   	-320.45		 89.09   	 -71.21		
-69.27   	-191.04   	 50.07   	-366.22		 88.81   	 -81.38		
-59.81   	-197.14   	 48.61   	-406.92		 88.48   	 -86.47		
-46.39   	-189.82   	 46.98   	-447.61		 88.14   	-101.73		
-39.98   	-176.09   	 45.19   	-488.30		 87.73   	-106.82		
-43.64   	-169.07   	 43.23   	-513.73		 87.30   	-111.90		
-52.49   	-175.17   	 41.18   	-544.25		 86.86   	-106.82		
-57.37   	-189.51   	 39.00   	-569.68		 86.43   	-101.73		
-52.19   	-199.58   	 36.72   	-590.03		 86.02   	-116.99		
-39.98   	-197.75   	 34.36   	-590.03		 85.55   	-122.07		
-28.99   	-189.51   	 32.00   	-595.11		 85.07   	-137.33		
-25.33   	-184.63   	 29.62   	-584.94		 84.52   	-142.42		
-28.69   	-187.07   	 27.28   	-574.77		 83.95   	-157.68		
-34.18   	-193.79   	 24.98   	-554.42		 83.32   	-167.85		
-35.10   	-197.14   	 22.77   	-534.08		 82.64   	-188.20		
-29.30   	-194.70   	 20.63   	-513.73		 81.89   	-193.29		
-19.23   	-192.26   	 18.58   	-498.47		 81.12   	-208.54		
-10.99   	-195.01   	 16.58   	-473.04		 80.28   	-208.54		
 -9.46   	-202.33   	 14.69   	-452.69		 79.45   	-223.80		
-15.87   	-208.44   	 12.88   	-437.43		 78.56   	-228.89		
-26.55   	-208.13   	 11.13   	-406.92		 77.64   	-228.89		
