SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 49.75   	 -40.69		  8.52   	  96.64		
 49.58   	 -40.69		  8.91   	 116.99		
 49.42   	 -40.69		  9.38   	 132.25		
 49.26   	 -35.61		  9.91   	 142.42		
 49.11   	 -35.61		 10.48   	 127.16		
 48.97   	 -30.52		 10.99   	  91.56		
 48.85   	 -35.61		 11.35   	  55.95		
 48.71   	 -45.78		 11.58   	  45.78		
 48.52   	 -45.78		 11.76   	  30.52		
 48.34   	 -40.69		 11.88   	  25.43		
 48.18   	 -35.61		 11.98   	  10.17		
 48.04   	 -40.69		 12.02   	 -10.17		
 47.87   	 -45.78		 11.98   	 -30.52		
 47.69   	 -86.47		 11.86   	 -71.21		
 47.34   	 -45.78		 11.58   	  15.26		
 47.16   	 -45.78		 11.64   	  76.30		
 46.98   	 -40.69		 11.94   	 147.51		
 46.82   	 -45.78		 12.53   	 167.85		
 46.63   	 -40.69		 13.20   	 111.90		
 46.47   	 -40.69		 13.65   	  40.69		
 46.31   	 -40.69		 13.81   	  55.95		
 46.14   	 -45.78		 14.04   	 162.77		
 45.96   	 -50.86		 14.69   	 295.01		
 45.76   	 -50.86		 15.87   	 386.57		
 45.55   	 -35.61		 17.42   	 412.00		
 45.41   	 -35.61		 19.06   	 442.52		
 45.27   	 -30.52		 20.83   	 518.82		
 45.15   	 -35.61		 22.91   	 610.37		
 45.00   	 -35.61		 25.35   	 686.67		
 44.86   	 -30.52		 28.10   	 712.10		
 44.74   	  -5.09		 30.95   	 701.93		
 44.72   	  35.61		 33.75   	 676.50		
 44.86   	  71.21		 36.46   	 610.37		
 45.15   	 127.16		 38.90   	 513.73		
 45.66   	 193.29		 40.96   	 376.40		
 46.43   	 269.58		 42.46   	 249.24		
 47.51   	 345.88		 43.46   	 116.99		
 48.89   	 412.00		 43.93   	  15.26		
 50.54   	 946.08		 43.99   	-203.46		
 54.32   	 473.04		 43.17   	-188.20		
 56.22   	 452.69		 42.42   	-208.54		
 58.03   	 422.18		 41.59   	-203.46		
 59.71   	 386.57		 40.77   	-183.11		
 61.26   	 335.71		 40.04   	-157.68		
 62.60   	 279.75		 39.41   	-127.16		
 63.72   	 213.63		 38.90   	 -71.21		
 64.58   	 142.42		 38.62   	 -15.26		
 65.15   	  86.47		 38.56   	  45.78		
 65.49   	  50.86		 38.74   	 106.82		
 65.70   	  15.26		 39.17   	 137.33		
 65.76   	  -5.09		 39.72   	 162.77		
 65.74   	 -25.43		 40.37   	 193.29		
 65.64   	 -25.43		 41.14   	 223.80		
 65.53   	 -20.35		 42.03   	 233.98		
 65.45   	  -5.09		 42.97   	 218.72		
 65.43   	  25.43		 43.85   	 208.54		
 65.53   	  45.78		 44.68   	 188.20		
 65.72   	  61.04		 45.43   	 172.94		
 65.96   	  91.56		 46.12   	 147.51		
 66.33   	 127.16		 46.71   	 106.82		
 66.84   	 152.59		 47.14   	  76.30		
 67.45   	 183.11		 47.45   	  50.86		
 68.18   	 193.29		 47.65   	  40.69		
 68.95   	 198.37		 47.81   	  30.52		
 69.75   	 213.63		 47.93   	  25.43		
 70.60   	 223.80		 48.04   	  20.35		
 71.50   	 223.80		 48.12   	  25.43		
 72.39   	 223.80		 48.22   	  15.26		
 73.29   	 213.63		 48.28   	  20.35		
 74.14   	 188.20		 48.36   	  30.52		
 74.89   	 167.85		 48.48   	  35.61		
 75.56   	 152.59		 48.63   	  20.35		
 76.17   	 132.25		 48.71   	  15.26		
 76.70   	 116.99		 48.77   	  25.43		
 77.17   	  96.64		 48.87   	  25.43		
 77.56   	  66.12		 48.97(S)	   0.00		
 77.82   	  45.78		 48.97   	 -20.35		
 78.01   	  15.26		 48.89   	 -25.43		
 78.07(S)	   0.00		 48.79   	 -30.52		
 78.07   	 -20.35		 48.67   	 -50.86		
 77.99   	 -35.61		 48.46   	 -61.04		
 77.84   	 -61.04		 48.22   	 -71.21		
 77.60   	 -81.38		 47.93   	 -81.38		
 77.27   	-106.82		 47.61   	-111.90		
 76.85   	-116.99		 47.16   	-127.16		
 76.38   	-142.42		 46.65   	-157.68		
 75.81   	-152.59		 46.02   	-183.11		
 75.20   	-172.94		 45.29   	-203.46		
 74.51   	-198.37		 44.48   	-198.37		
 73.71   	-218.72		 43.68   	-193.29		
 72.84   	-244.15		 42.91   	-193.29		
 71.86   	-254.32		 42.14   	-208.54		
 70.84   	-279.75		 41.30   	-218.72		
 69.73   	-295.01		 40.43   	-223.80		
 68.55   	-315.36		 39.53   	-254.32		
 67.28   	-315.36		 38.51   	-295.01		
 66.02   	-289.93		 37.33   	-345.88		
 64.86   	-249.24		 35.95   	-422.18		
 63.87   	-208.54		 34.26   	-534.08		
 63.03   	-172.94		 32.13   	-656.15		
 62.34   	-147.51		 29.50   	-742.62		
 61.75   	-122.07		 26.53   	-778.23		
 61.26   	 -91.56		 23.42   	-793.49		
 60.89   	 -66.12		 20.24   	-829.09		
 60.63   	 -50.86		 16.93   	-859.61		
 60.43   	 -45.78		 13.49   	-813.83		
 60.24   	 -35.61		 10.23   	-696.84		
 60.10   	 -30.52		  7.45   	-539.16		
 59.98   	 -25.43		  5.29   	-381.48		
 59.88   	 -30.52		  3.76   	-244.15		
 59.76   	 -25.43		  2.79   	-127.16		
 59.65   	 -25.43		  2.28   	 -15.26		
 59.55   	 -15.26		  2.22(D)	  55.95		
 59.49   	 -20.35		  2.44   	  81.38		
 59.41   	 -20.35		  2.77   	  91.56		
 59.33   	 -35.61		  3.13   	 101.73		
 59.19   	 -45.78		  3.54   	 167.85		
 59.00   	 -35.61		  4.21   	 259.41		
 58.86   	 -25.43		  5.25   	 361.14		
 58.76   	 -20.35		  6.69   	 401.83		
 58.68   	 -25.43		  8.30   	 361.14		
 58.58   	 -35.61		  9.75   	 284.84		
 58.43   	 -35.61		 10.89   	 203.46		
 58.29   	 -45.78		 11.70   	 111.90		
 58.11   	 -45.78		 12.15   	  25.43		
 57.92   	 -40.69		 12.25   	 -66.12		
 57.76   	 -45.78		 11.98   	-188.20		
 57.58   	 -45.78		 11.23   	-315.36		
 57.40   	 -50.86		  9.97   	-417.09		
 57.19   	 -55.95		  8.30   	-452.69		
 56.97   	 -61.04		  6.49   	-406.92		
 56.72   	 -61.04		  4.86   	-305.19		
 56.48   	 -50.86		  3.64   	-178.03		
 56.28   	 -50.86		  2.93   	 -55.95		
 56.07   	 -50.86		  2.71   	  61.04		
 55.87   	 -50.86		  2.95   	 142.42		
 55.67   	 -55.95		  3.52   	 183.11		
 55.44   	 -50.86		  4.25   	 188.20		
 55.24   	 -55.95		  5.01   	 147.51		
 55.02   	 -55.95		  5.60   	 101.73		
 54.79   	 -61.04		  6.00   	  81.38		
 54.55   	 -61.04		  6.33   	 106.82		
 54.30   	 -61.04		  6.75   	 157.68		
 54.06   	 -50.86		  7.39   	 193.29		
 53.86   	 -40.69		  8.16   	 188.20		
 53.69   	 -50.86		  8.91   	 162.77		
 53.49   	 -55.95		  9.56   	 132.25		
 53.27   	 -55.95		 10.09   	 111.90		
 53.04   	 -55.95		 10.54   	  86.47		
 52.82   	 -50.86		 10.89(E)	  35.61		
 52.61   	 -40.69		 11.03   	 -30.52		
 52.45   	 -55.95		 10.91   	 -86.47		
 52.23   	-137.33		 10.56   	-335.71		
 51.68   	 -55.95		  9.22   	-213.63		
 51.45   	 -50.86		  8.36   	-218.72		
 51.25   	 -50.86		  7.49   	-218.72		
 51.05   	 -61.04		  6.61   	-183.11		
 50.80   	 -76.30		  5.88   	-132.25		
 50.50   	 -66.12		  5.35   	 -76.30		
 50.23   	 -55.95		  5.05   	 -40.69		
 50.01   	 -50.86		  4.88   	 -20.35		
 49.81   	 -40.69		  4.80   	   5.09		
 49.64   	 -50.86		  4.82   	  40.69		
 49.44   	 -61.04		  4.98   	  66.12		
 49.20   	 -66.12		  5.25   	  66.12		
 48.93   	 -55.95		  5.51   	  45.78		
 48.71   	 -40.69		  5.70   	  25.43		
 48.55   	 -45.78		  5.80   	  10.17		
 48.36   	 -45.78		  5.84   	   5.09		
 48.18   	 -61.04		  5.86   	  20.35		
 47.93   	 -55.95		  5.94   	  40.69		
 47.71   	 -45.78		  6.10   	  55.95		
 47.53   	 -35.61		  6.33   	  35.61		
 47.39   	 -35.61		  6.47   	  25.43		
 47.24   	 -35.61		  6.57   	  20.35		
 47.10   	 -40.69		  6.65   	  25.43		
 46.94   	 -50.86		  6.75   	  40.69		
 46.73   	 -91.56		  6.92   	  66.12		
 46.37   	 -40.69		  7.18   	  20.35		
 46.21   	 -45.78		  7.26   	  25.43		
 46.02   	 -50.86		  7.37   	  40.69		
 45.82   	 -61.04		  7.53   	  66.12		
 45.57   	 -55.95		  7.79   	 101.73		
 45.35   	 -55.95		  8.20   	 116.99		
 45.13   	 -45.78		  8.67   	 122.07		
 44.94   	 -45.78		  9.16   	 157.68		
 44.76   	 -50.86		  9.79   	 213.63		
 44.56   	 -55.95		 10.64   	 274.67		
 44.33   	 -50.86		 11.74   	 320.45		
 44.13   	 -40.69		 13.02   	 366.22		
 43.97   	 -35.61		 14.49   	 417.09		
 43.82   	 -30.52		 16.15   	 478.13		
 43.70   	 -40.69		 18.07   	 559.51		
 43.54   	 -40.69		 20.31   	 625.63		
 43.38   	 -40.69		 22.81   	 630.72		
 43.21   	 -25.43		 25.33   	 528.99		
 43.11   	 -10.17		 27.45   	 412.00		
 43.07(D)	   5.09		 29.09   	 366.22		
 43.09   	  45.78		 30.56   	 356.05		
 43.28   	  96.64		 31.98   	 325.53		
 43.66   	 162.77		 33.29   	 233.98		
 44.31   	 233.98		 34.22   	 137.33		
 45.25   	 696.84		 34.77   	 116.99		
 48.04   	 437.43		 35.24   	  20.35		
 49.79   	 467.95		 35.32   	 -30.52		
 51.66   	 473.04		 35.20   	 -91.56		
 53.55   	 457.78		 34.83   	-127.16		
