SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  RV     	  RV'		
 81.06   	 885.04		 48.26   	 -20.35		
 84.60   	 829.09		 48.18   	  -5.09		
 87.91   	 788.40		 48.16   	  20.35		
 91.07   	 778.23		 48.24   	  35.61		
 94.18   	 762.97		 48.38   	  50.86		
 97.23   	 712.10		 48.59   	  66.12		
100.08   	 656.15		 48.85   	  86.47		
102.71   	 615.46		 49.20   	 106.82		
105.17   	 579.86		 49.62   	 127.16		
107.49   	 564.60		 50.13   	 147.51		
109.75   	 554.42		 50.72   	 167.85		
111.96   	 523.90		 51.39   	 167.85		
114.06   	 493.39		 52.06   	 157.68		
116.03   	 452.69		 52.70   	 178.03		
117.84   	 391.66		 53.41   	 188.20		
119.41   	 315.36		 54.16   	 172.94		
120.67   	 213.63		 54.85   	 157.68		
121.53   	 122.07		 55.48   	 167.85		
122.01   	  30.52		 56.15   	 157.68		
122.14(S)	 -61.04		 56.79   	 122.07		
121.89   	-122.07		 57.27   	 106.82		
121.40   	-167.85		 57.70   	 116.99		
120.73   	-239.06		 58.17   	  91.56		
119.78   	-284.84		 58.53   	  50.86		
118.64   	-259.41		 58.74   	  35.61		
117.60   	-208.54		 58.88   	  30.52		
116.76   	-172.94		 59.00   	  10.17		
116.07   	-188.20		 59.04   	 -30.52		
115.32   	-198.37		 58.92   	 -30.52		
114.53   	-193.29		 58.80   	 -20.35		
113.75   	-147.51		 58.72   	 -61.04		
113.16   	-106.82		 58.47   	 -76.30		
112.74   	-127.16		 58.17   	 -61.04		
112.23   	-147.51		 57.92   	 -66.12		
111.64   	-162.77		 57.66   	 -86.47		
110.99   	-162.77		 57.31   	 -81.38		
110.34   	-152.59		 56.99   	 -91.56		
109.72   	-152.59		 56.62   	-106.82		
109.11   	-157.68		 56.20   	-111.90		
108.48   	-147.51		 55.75   	-122.07		
107.89   	-127.16		 55.26   	-142.42		
107.39   	-127.16		 54.69   	-162.77		
106.88   	-137.33		 54.04   	-162.77		
106.33   	-137.33		 53.39   	-198.37		
105.78   	-111.90		 52.59   	-310.27		
105.33   	 -81.38		 51.35   	-356.05		
105.00   	 -86.47		 49.93   	-289.93		
104.66   	-116.99		 48.77   	-345.88		
104.19   	-132.25		 47.39   	-462.87		
103.66   	-116.99		 45.53   	-488.30		
103.19   	-122.07		 43.58   	-528.99		
102.71   	-162.77		 41.46   	-630.72		
102.05   	-213.63		 38.94   	-666.32		
