SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  DAO     	  DAO'		  RV     	  RV'		
-155.03   	-71.41   	 82.32   	-132.25		 31.82   	 320.45		
-184.94   	-102.84   	 81.79   	 -45.78		 33.10   	 249.24		
-200.50   	-118.71   	 81.61   	  35.61		 34.10   	 193.29		
-182.80   	-110.78   	 81.75   	  91.56		 34.87   	 147.51		
-127.87   	-100.40   	 82.12   	 122.07		 35.46   	  81.38		
-30.52   	-122.07   	 82.60   	 122.07		 35.79   	  -5.09		
130.92   	-183.72   	 83.09   	  91.56		 35.77   	 -81.38		
350.04   	-251.46   	 83.46   	  35.61		 35.44   	-152.59		
538.64   	-265.81   	 83.60   	 -81.38		 34.83   	-401.83		
323.49   	 -4.58   	 83.28   	-116.99		 33.22   	-167.85		
-151.06   	173.34   	 82.81   	-152.59		 32.55   	-122.07		
-663.45   	255.13   	 82.20   	-167.85		 32.06   	 -66.12		
-960.08(R)	192.87   	 81.53   	-172.94		 31.80   	 -35.61		
-925.29   	 19.53   	 80.83   	-147.51		 31.66   	 -10.17		
-639.34   	-163.88   	 80.24   	-111.90		 31.62   	  25.43		
-292.36   	-251.16   	 79.80   	 -71.21		 31.72   	  61.04		
-63.17   	-215.76   	 79.51   	 -40.69		 31.96   	 122.07		
-15.56   	-118.71   	 79.35   	  -5.09		 32.45   	 162.77		
-85.14   	-45.47   	 79.33   	  20.35		 33.10   	 218.72		
-164.18   	-38.76   	 79.41   	  15.26		 33.98   	 305.19		
-190.73   	-82.40   	 79.47   	  10.17		 35.20   	 406.92		
-161.74   	-124.51   	 79.51   	 -15.26		 36.83   	 534.08		
-108.03   	-126.34   	 79.45   	 -40.69		 38.96   	 666.32		
-65.31   	-93.08   	 79.29   	 -66.12		 41.63   	 773.14		
-51.57   	-57.37   	 79.02   	 -91.56		 44.72   	 859.61		
-62.26   	-44.56   	 78.66   	-116.99		 48.16   	 930.82		
-81.18   	-57.98   	 78.19   	-147.51		 51.88   	 946.08		
-90.94   	-80.26   	 77.60   	-162.77		 55.67   	 885.04		
-81.48   	-88.81   	 76.95   	-162.77		 59.21   	 813.83		
-51.27   	-71.72   	 76.30   	-147.51		 62.46   	 757.88		
-10.38   	-35.71   	 75.71   	-127.16		 65.49   	 666.32		
 23.19   	 -1.83   	 75.20   	 -91.56		 68.16   	 539.16		
 36.32   	 11.60   	 74.83   	 -61.04		 70.32   	 412.00		
 30.82   	  2.44   	 74.59   	 -66.12		 71.96   	 376.40		
 29.60   	-18.31   	 74.32   	  -5.09		 73.47   	   5.09		
 57.37   	 -2.44   	 74.30   	  15.26		 73.49   	 -96.64		
