SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  DAO     	  DAO'		  RV     	  RV'		
-118.41   	-61.34   	 85.96   	-371.31		 39.31   	-549.34		
-113.53   	-59.51   	 84.48   	-401.83		 37.11   	-640.89		
-94.30   	-48.22   	 82.87   	-834.18		 34.55   	-1434.38		
-17.40   	 -3.05   	 79.53   	-386.57		 28.81   	-727.36		
 24.11   	 17.70   	 77.99   	-325.53		 25.90   	-712.10		
 61.34   	 32.65   	 76.68   	-228.89		 23.05   	-645.98		
 97.96   	 48.22   	 75.77   	 -86.47		 20.47   	-569.68		
138.55   	 73.24   	 75.42   	  66.12		 18.19   	-503.56		
179.44   	107.12   	 75.69   	 162.77		 16.17   	-437.43		
210.27   	140.69   	 76.34   	 188.20		 14.43   	-366.22		
220.64   	159.30   	 77.09   	 172.94		 12.96   	-325.53		
204.47   	151.67   	 77.78   	 111.90		 11.66   	-295.01		
160.22   	114.44   	 78.23   	  20.35		 10.48   	-208.54		
 92.77   	 54.32   	 78.31   	 -86.47		  9.64   	 -76.30		
 11.29   	-13.43   	 77.97   	-178.03		  9.34   	  61.04		
-70.50   	-72.33   	 77.25   	-239.06		  9.58   	 178.03		
-133.67   	-107.73   	 76.30   	-269.58		 10.29   	 264.50		
-165.71   	-115.36   	 75.22   	-264.50		 11.35   	 340.79		
-168.46   	-103.45   	 74.16   	-233.98		 12.72   	 386.57		
-156.86   	-88.20   	 73.22   	-178.03		 14.26   	 427.26		
-148.93   	-81.79   	 72.51   	-116.99		 15.97   	 437.43		
-154.72   	-88.50   	 72.04   	 -40.69		 17.72   	 442.52		
-172.73   	-103.45   	 71.88   	  30.52		 19.49   	 437.43		
-191.04   	-118.41   	 72.00   	  71.21		 21.24   	 412.00		
-193.48   	-128.17   	 72.29   	  91.56		 22.89   	 361.14		
-161.74   	-140.08   	 72.65   	  86.47		 24.33   	 310.27		
-65.31   	-164.18   	 73.00   	  61.04		 25.57   	 244.15		
125.73   	-202.33   	 73.24   	  20.35		 26.55   	 178.03		
383.61   	-239.87   	 73.33   	 -25.43		 27.26   	  91.56		
590.82   	-243.23   	 73.22   	-172.94		 27.63   	 -76.30		
317.99   	-39.98   	 72.53   	-122.07		 27.32   	-157.68		
-189.82   	108.34   	 72.04   	-137.33		 26.69   	-188.20		
-707.40   	181.58   	 71.50   	-122.07		 25.94   	-172.94		
-986.63(R)	127.87   	 71.01   	-101.73		 25.25   	-142.42		
-929.57   	-30.21   	 70.60   	 -71.21		 24.68   	-137.33		
-630.19   	-198.36   	 70.32   	 -40.69		 24.13   	-162.77		
-285.64   	-276.79   	 70.15   	 -30.52		 23.48   	-127.16		
-70.80   	-239.87   	 70.03   	 -10.17		 22.97   	 -35.61		
-36.93   	-143.74   	 69.99   	  10.17		 22.83   	  61.04		
-113.22   	-71.41   	 70.03   	  20.35		 23.07   	 147.51		
-193.79   	-66.53   	 70.11   	  25.43		 23.66   	 259.41		
-216.37   	-108.95   	 70.21   	   5.09		 24.70   	 396.74		
-182.80   	-148.32   	 70.23   	 -15.26		 26.29   	 544.25		
-130.62   	-152.89   	 70.17   	 -40.69		 28.46   	 701.93		
-95.52   	-128.17   	 70.01   	 -71.21		 31.27   	 839.26		
-87.28   	-99.49   	 69.73   	 -96.64		 34.63   	 925.73		
-93.99   	-86.06   	 69.34   	-101.73		 38.33   	1007.12		
-98.27   	-87.89   	 68.93   	-101.73		 42.36   	1057.98		
-90.03   	-90.94   	 68.52   	 -91.56		 46.59   	1037.64		
-74.16   	-86.98   	 68.16   	-106.82		 50.74   	 996.94		
-58.90   	-76.90   	 67.73   	-111.90		 54.73   	 925.73		
-46.39   	-64.09   	 67.28   	-106.82		 58.43   	 808.75		
-36.01   	-53.71   	 66.86   	 -66.12		 61.67   	 671.41		
-24.72   	-47.30   	 66.59   	 -40.69		 64.35   	 523.90		
 -9.16   	-41.20   	 66.43   	   0.00		 66.45   	 528.99		
 36.01   	-19.84   	 66.43   	  30.52		 68.57   	  35.61		
 59.20   	 -8.24   	 66.55   	  66.12		 68.71   	 -96.64		
 78.74   	  0.92   	 66.82   	 122.07		 68.32   	-198.37		
 96.44   	 10.38   	 67.30   	 249.24		 67.53   	-284.84		
117.19   	 24.41   	 68.30   	 452.69		 66.39   	-340.79		
142.21   	 44.56   	 70.11   	 737.54		 65.03   	-381.48		
169.68   	 68.36   	 73.06   	1063.07		 63.50   	-386.57		
193.48   	 87.89   	 77.31   	1353.00		 61.95   	-381.48		
210.27   	100.10   	 82.73   	1541.19		 60.43   	-356.05		
221.86   	109.56   	 88.89   	1586.97		 59.00   	-310.27		
230.71   	121.15   	 95.24   	1485.24		 57.76   	-239.06		
238.95   	137.33   	101.18   	1307.22		 56.81   	-172.94		
244.75   	153.81   	106.41   	1093.59		 56.11   	 -96.64		
243.53   	162.35   	110.78   	 879.96		 55.73   	 -30.52		
232.85   	158.69   	114.30   	 640.89		 55.61   	  35.61		
214.54   	145.87   	116.87   	 361.14		 55.75   	 106.82		
192.26   	131.53   	118.31   	  30.52		 56.17   	 157.68		
170.59   	121.77   	118.43   	-259.41		 56.81   	 198.37		
151.67   	117.49   	117.40   	-457.78		 57.60   	 218.72		
135.50   	115.97   	115.56   	-498.47		 58.47   	 228.89		
120.24   	112.61   	113.57   	-386.57		 59.39   	 223.80		
101.01   	100.71   	112.02   	-218.72		 60.28   	 203.46		
 72.63   	 76.90   	111.15   	 -71.21		 61.10   	 162.77		
 34.79   	 44.56   	110.86   	  15.26		 61.75   	 111.90		
 -7.63   	 11.29   	110.93   	  55.95		 62.20   	  76.30		
-72.94   	-26.25   	111.15   	 -50.86		 62.50   	 -35.61		
-85.45   	-28.08   	110.95   	-147.51		 62.36   	 -81.38		
-90.03   	-27.47   	110.36   	-244.15		 62.03   	-127.16		
-92.47   	-29.30   	109.38   	-335.71		 61.53   	-157.68		
-96.13   	-33.87   	108.04   	-412.00		 60.89   	-178.03		
-101.32   	-38.15   	106.39   	-457.78		 60.18   	-193.29		
-108.03   	-42.11   	104.56   	-457.78		 59.41   	-203.46		
-117.49   	-48.52   	102.73   	-417.09		 58.60   	-203.46		
-129.09   	-57.68   	101.06   	-335.71		 57.78   	-203.46		
-140.38   	-68.05   	 99.71   	-228.89		 56.97   	-198.37		
-146.79   	-74.77   	 98.80   	-111.90		 56.17   	-188.20		
-142.21   	-70.80   	 98.35   	  -5.09		 55.42   	-193.29		
-127.87   	-56.46   	 98.33   	  66.12		 54.65   	-193.29		
-114.14   	-42.11   	 98.60   	  71.21		 53.88   	-218.72		
-110.47   	-38.15   	 98.88   	  35.61		 53.00   	-259.41		
-120.54   	-49.44   	 99.02   	 -10.17		 51.96   	-289.93		
-139.47   	-70.19   	 98.98   	 -55.95		 50.80   	-335.71		
-154.72   	-87.59   	 98.76   	-111.90		 49.46   	-391.66		
-154.11   	-87.89   	 98.31   	-178.03		 47.89   	-437.43		
-137.63   	-71.72   	 97.60   	-244.15		 46.14   	-508.65		
-114.75   	-50.35   	 96.62   	-300.10		 44.11   	-605.29		
-96.13   	-36.32   	 95.42   	-345.88		 41.69   	-686.67		
-85.45   	-32.65   	 94.04   	-366.22		 38.94   	-732.45		
-74.16   	-29.30   	 92.57   	-376.40		 36.01   	-717.19		
-51.57   	-17.40   	 91.07   	-742.62		 33.14   	-1302.13		
 46.39   	 42.11   	 88.10   	-330.62		 27.93   	-549.34		
112.30   	 80.87   	 86.77   	-244.15		 25.74   	-462.87		
170.59   	115.05   	 85.80   	-111.90		 23.89   	-401.83		
211.79   	141.91   	 85.35   	  20.35		 22.28   	-356.05		
233.15   	160.83   	 85.43   	 127.16		 20.85   	-259.41		
232.85   	166.93   	 85.94   	 172.94		 19.82   	-122.07		
213.32   	155.33   	 86.63   	 162.77		 19.33   	  30.52		
177.00   	126.34   	 87.28   	 106.82		 19.45   	 157.68		
120.24   	 79.04   	 87.71   	  20.35		 20.08   	 264.50		
 43.03   	 19.53   	 87.79   	 -76.30		 21.14   	 350.97		
-41.81   	-36.93   	 87.49   	-147.51		 22.54   	 401.83		
-114.14   	-75.07   	 86.90   	-193.29		 24.15   	 427.26		
-158.69   	-89.72   	 86.12   	-218.72		 25.86   	 447.61		
-172.12   	-86.36   	 85.25   	-223.80		 27.65   	 467.95		
-164.18   	-76.29   	 84.35   	-198.37		 29.52   	 473.04		
-155.03   	-73.85   	 83.56   	-152.59		 31.41   	 457.78		
-158.69   	-83.92   	 82.95   	 -91.56		 33.25   	 406.92		
-176.39   	-103.15   	 82.58   	 -15.26		 34.87   	 320.45		
-198.67   	-124.51   	 82.52   	  66.12		 36.15   	 203.46		
-205.69   	-140.08   	 82.79   	 106.82		 36.97   	 101.73		
-174.87   	-152.59   	 83.21   	 122.07		 37.38   	  50.86		
-76.90   	-171.20   	 83.70   	 111.90		 37.58   	   0.00		
113.22   	-202.64   	 84.15   	  71.21		 37.58   	 -55.95		
366.82   	-238.65   	 84.44   	  20.35		 37.35   	 -86.47		
568.85   	-248.41   	 84.52   	 -81.38		 37.01   	-239.06		
314.94   	-40.89   	 84.19   	 -96.64		 36.05   	-137.33		
-175.78   	128.78   	 83.80   	-127.16		 35.50   	-137.33		
-688.48   	227.66   	 83.30   	-142.42		 34.95   	 -96.64		
-977.17(R)	191.04   	 82.73   	-132.25		 34.57   	 -50.86		
-934.75   	 32.96   	 82.20   	-101.73		 34.36   	 -40.69		
-641.48   	-148.32   	 81.79   	 -66.12		 34.20   	 -20.35		
-290.83   	-245.67   	 81.53   	 -35.61		 34.12   	  35.61		
-65.31   	-226.75   	 81.38   	 -25.43		 34.26   	  81.38		
-29.60   	-146.48   	 81.28   	 -25.43		 34.59   	 137.33		
-114.14   	-82.70   	 81.18   	 -30.52		 35.14   	 218.72		
-201.11   	-72.33   	 81.06   	 -35.61		 36.01   	 295.01		
-219.42   	-98.27   	 80.92   	 -45.78		 37.19   	 381.48		
-170.90   	-117.49   	 80.73   	 -61.04		 38.72   	 503.56		
-102.84   	-108.03   	 80.49   	 -71.21		 40.73   	 656.15		
-57.68   	-79.04   	 80.20   	 -81.38		 43.36   	 757.88		
-48.83   	-54.63   	 79.88   	 -91.56		 46.39   	 818.92		
-62.87   	-50.05   	 79.51   	 -96.64		 49.66   	 874.87		
-75.07   	-57.98   	 79.12   	-101.73		 53.16   	 915.56		
-73.24   	-64.39   	 78.72   	-101.73		 56.83   	 915.56		
-65.00   	-65.61   	 78.31   	-111.90		 60.49   	 885.04		
-58.29   	-62.56   	 77.86   	-127.16		 64.03   	 818.92		
-54.32   	-58.59   	 77.35   	-122.07		 67.30   	 727.36		
-48.83   	-54.93   	 76.87   	-106.82		 70.21   	 605.29		
-35.71   	-48.52   	 76.44   	 -81.38		 72.63   	 467.95		
-12.82   	-36.01   	 76.11   	 -91.56		 74.51   	 518.82		
 48.22   	  3.36   	 75.75   	 -10.17		 76.58   	  55.95		
 82.40   	 29.30   	 75.71   	  30.52		 76.81   	 -61.04		
120.24   	 59.51   	 75.83   	  66.12		 76.56   	-162.77		
153.20   	 84.53   	 76.09   	 132.25		 75.91   	-244.15		
171.51   	 92.47   	 76.62   	 264.50		 74.93   	-320.45		
172.73   	 81.48   	 77.68   	 467.95		 73.65   	-361.14		
166.32   	 63.17   	 79.55   	 747.71		 72.21   	-386.57		
174.26   	 62.87   	 82.54   	1047.81		 70.66   	-396.74		
205.99   	 92.47   	 86.73   	1302.13		 69.07   	-371.31		
249.02   	140.08   	 91.94   	1454.72		 67.59   	-325.53		
278.32   	177.92   	 97.76   	1480.16		 66.29   	-264.50		
277.71   	187.07   	103.68   	1403.86		 65.23   	-193.29		
255.74   	173.34   	109.30   	1276.70		 64.46   	-132.25		
232.54   	156.56   	114.40   	1134.28		 63.93   	 -61.04		
222.17   	153.81   	118.94   	 981.68		 63.68   	  -5.09		
223.39   	164.79   	122.87   	 783.31		 63.66   	  45.78		
221.86   	175.78   	126.00   	 498.47		 63.85   	  96.64		
206.60   	173.65   	128.00   	 137.33		 64.23   	 132.25		
180.66   	159.00   	128.54   	-239.06		 64.76   	 152.59		
154.11   	141.60   	127.59   	-539.16		 65.37   	 157.68		
132.14   	128.78   	125.43   	-661.24		 66.00   	 162.77		
112.61   	120.24   	122.79   	-625.63		 66.65   	 142.42		
 87.89   	108.95   	120.28   	-493.39		 67.22   	 116.99		
 52.80   	 87.28   	118.31   	-305.19		 67.69   	  86.47		
 10.38   	 56.15   	117.09   	-213.63		 68.04   	  61.04		
-52.49   	 10.68   	116.24   	 -25.43		 68.28   	 -35.61		
-58.59   	 13.43   	116.13   	 -40.69		 68.14   	 -86.47		
-54.32   	 27.16   	115.97   	-101.73		 67.79   	-132.25		
-50.05   	 39.06   	115.56   	-183.11		 67.26   	-172.94		
-56.76   	 36.93   	114.83   	-289.93		 66.57   	-198.37		
-75.38   	 20.14   	113.67   	-401.83		 65.78   	-218.72		
-99.49   	 -3.36   	112.06   	-493.39		 64.90   	-228.89		
-119.93   	-22.89   	110.09   	-539.16		 63.99   	-239.06		
-129.09   	-30.82   	107.93   	-534.08		 63.03   	-249.24		
-125.12   	-25.63   	105.80   	-473.04		 62.03   	-244.15		
-115.66   	-14.65   	103.91   	-381.48		 61.06   	-249.24		
-112.30   	 -9.16   	102.38   	-274.67		 60.06   	-274.67		
-124.21   	-18.31   	101.28   	-162.77		 58.96   	-315.36		
-148.01   	-39.67   	100.63   	 -76.30		 57.70   	-366.22		
-167.54   	-58.29   	100.33   	 -10.17		 56.24   	-401.83		
-168.46   	-60.42   	100.28   	  10.17		 54.63   	-442.52		
-149.54   	-44.86   	100.33   	   0.00		 52.86   	-478.13		
-122.68   	-21.97   	100.33   	 -50.86		 50.95   	-513.73		
-99.18   	 -0.92   	100.12   	-127.16		 48.89   	-564.60		
-85.45   	 12.21   	 99.61   	-223.80		 46.63   	-620.55		
-81.48   	 16.78   	 98.72   	-335.71		 44.15   	-681.58		
-84.23   	 14.65   	 97.37   	-442.52		 41.42   	-722.28		
-93.99   	  3.66   	 95.60   	-518.82		 38.53   	-722.28		
-105.29   	-11.90   	 93.53   	-564.60		 35.65   	-696.84		
-105.90   	-19.53   	 91.27   	-1073.24		 32.86   	-1246.18		
-36.62   	 24.41   	 86.98   	-406.92		 27.87   	-539.16		
 22.28   	 63.17   	 85.35   	-249.24		 25.72   	-503.56		
 79.04   	 95.83   	 84.35   	 -71.21		 23.70   	-442.52		
126.34   	119.32   	 84.07   	  66.12		 21.93   	-345.88		
165.10   	139.47   	 84.33   	 147.51		 20.55   	-213.63		
198.97   	164.18   	 84.92   	 147.51		 19.69   	 -76.30		
226.44   	191.04   	 85.51   	  81.38		 19.39   	  40.69		
239.56   	209.05   	 85.84   	 -20.35		 19.55   	 132.25		
230.10   	204.77   	 85.76   	-132.25		 20.08   	 193.29		
197.14   	175.48   	 85.23   	-239.06		 20.85   	 233.98		
143.13   	127.26   	 84.27   	-320.45		 21.79   	 254.32		
 74.16   	 71.72   	 82.99   	-376.40		 22.81   	 269.58		
 -1.53   	 20.45   	 81.48   	-412.00		 23.89   	 249.24		
-72.33   	-17.70   	 79.84   	-396.74		 24.88   	 223.80		
-125.73   	-39.67   	 78.25   	-345.88		 25.78   	 167.85		
-152.59   	-45.78   	 76.87   	-259.41		 26.45   	 101.73		
-154.42   	-41.20   	 75.83   	-178.03		 26.86   	  35.61		
-145.26   	-35.40   	 75.12   	 -96.64		 27.00   	 -45.78		
-140.08   	-35.71   	 74.73   	 -45.78		 26.82   	-111.90		
-145.26   	-42.72   	 74.55   	  -5.09		 26.37   	-172.94		
-155.64   	-51.27   	 74.53   	   0.00		 25.68   	-223.80		
-158.69   	-56.76   	 74.53   	 -30.52		 24.78   	-269.58		
-139.16   	-64.70   	 74.40   	 -76.30		 23.70   	-305.19		
-75.99   	-89.11   	 74.10   	-132.25		 22.48   	-315.36		
 63.17   	-137.63   	 73.57   	-183.11		 21.22   	-310.27		
283.81   	-198.97   	 72.84   	-228.89		 19.98   	-284.84		
505.37   	-238.95   	 71.92   	-483.21		 18.84   	-462.87		
413.82   	-84.53   	 69.99   	-228.89		 16.99   	-183.11		
-16.48   	 96.13   	 69.07   	-208.54		 16.26   	-152.59		
-544.13   	241.09   	 68.24   	-167.85		 15.65   	-111.90		
-914.61   	267.03   	 67.57   	-122.07		 15.20   	 -86.47		
-967.10(R)	152.28   	 67.08   	 -81.38		 14.85   	 -45.78		
-732.12   	-32.35   	 66.75   	 -55.95		 14.67   	 -10.17		
-378.11   	-169.37   	 66.53   	 -66.12		 14.63   	  25.43		
-96.74   	-187.38   	 66.27   	 -76.30		 14.73   	  61.04		
  8.85   	-110.17   	 65.96   	 -86.47		 14.97   	 116.99		
-31.74   	-19.84   	 65.62   	 -96.64		 15.44   	 172.94		
-115.66   	 17.40   	 65.23   	-106.82		 16.13   	 269.58		
-159.30   	 -5.80   	 64.80   	-127.16		 17.21   	 376.40		
-143.74   	-49.74   	 64.29   	-147.51		 18.72   	 488.30		
-95.52   	-70.80   	 63.70   	-167.85		 20.67   	 590.03		
-51.27   	-58.29   	 63.03   	-167.85		 23.03   	 635.81		
-31.13   	-30.21   	 62.36   	-162.77		 25.57   	 635.81		
-31.13   	 -9.77   	 61.71   	-142.42		 28.12   	 645.98		
-33.87   	 -3.05   	 61.14   	-122.07		 30.70   	 651.07		
-26.86   	 -2.44   	 60.65   	-116.99		 33.31   	 615.46		
 -9.16   	  1.83   	 60.18   	-122.07		 35.77   	 564.60		
 13.12   	 13.73   	 59.69   	-127.16		 38.03   	 549.34		
 33.57   	 28.08   	 59.19   	-127.16		 40.22   	 518.82		
 48.83   	 38.45   	 58.68   	-127.16		 42.30   	 427.26		
 61.65   	 44.56   	 58.17   	-111.90		 44.01   	 335.71		
 77.51   	 50.35   	 57.72   	-162.77		 45.35   	 386.57		
121.46   	 70.80   	 57.07   	 -66.12		 46.90   	  15.26		
136.11   	 75.38   	 56.81   	 -61.04		 46.96   	 -71.21		
141.60   	 72.94   	 56.56   	 -55.95		 46.67   	-147.51		
148.01   	 73.55   	 56.34   	 -20.35		 46.08   	-198.37		
169.07   	 90.33   	 56.26   	  71.21		 45.29   	-244.15		
206.60   	122.68   	 56.54   	 264.50		 44.31   	-279.75		
246.89   	155.64   	 57.60   	 564.60		 43.19   	-295.01		
272.52   	172.42   	 59.86   	 925.73		 42.01   	-289.93		
277.40   	168.15   	 63.56   	1271.61		 40.85   	-295.01		
268.86   	154.11   	 68.65   	1515.76		 39.67   	-300.10		
261.54   	146.48   	 74.71   	1592.06		 38.47   	-269.58		
265.20   	155.03   	 81.08   	1485.24		 37.40   	-218.72		
278.93   	176.39   	 87.02   	1266.53		 36.52   	-167.85		
293.27   	198.97   	 92.09   	1007.12		 35.85   	-101.73		
298.16   	210.88   	 96.11   	 722.28		 35.44   	 -50.86		
289.61   	209.05   	 99.00   	 422.18		 35.24   	 -25.43		
270.39   	196.23   	100.69   	 116.99		 35.14   	  15.26		
244.75   	177.31   	101.16   	-172.94		 35.20   	  50.86		
216.98   	156.86   	100.47   	-412.00		 35.40   	  50.86		
188.90   	136.72   	 98.82   	-528.99		 35.61   	  45.78		
160.22   	116.88   	 96.70   	-528.99		 35.79   	  30.52		
132.45   	 99.49   	 94.59   	-432.35		 35.91   	  20.35		
110.78   	 88.20   	 92.86   	-284.84		 35.99   	  20.35		
 95.83   	 82.40   	 91.72   	-147.51		 36.07   	 -10.17		
 82.40   	 75.07   	 91.13   	 -86.47		 36.03   	-106.82		
 31.43   	 30.82   	 90.78   	 -30.52		 35.61   	 -91.56		
 -6.71   	 -0.61   	 90.66   	 -76.30		 35.24   	-127.16		
-38.45   	-22.58   	 90.36   	-152.59		 34.73   	-152.59		
-53.10   	-26.86   	 89.75   	-233.98		 34.12   	-167.85		
-50.96   	-17.70   	 88.81   	-305.19		 33.45   	-183.11		
-41.20   	 -5.19   	 87.59   	-356.05		 32.72   	-183.11		
-36.93   	 -1.83   	 86.16   	-391.66		 31.98   	-188.20		
-44.86   	-10.68   	 84.60   	-401.83		 31.23   	-198.37		
-61.34   	-26.55   	 82.99   	-371.31		 30.44   	-193.29		
-76.60   	-41.20   	 81.51   	-310.27		 29.66   	-193.29		
-83.62   	-48.83   	 80.26   	-218.72		 28.89   	-188.20		
-83.62   	-50.66   	 79.39   	-127.16		 28.14   	-198.37		
-81.79   	-50.96   	 78.88   	 -61.04		 27.34   	-213.63		
-83.01   	-51.88   	 78.64   	 -20.35		 26.49   	-233.98		
-85.45   	-51.57   	 78.56   	  -5.09		 25.55   	-284.84		
-83.92   	-45.78   	 78.53   	 -15.26		 24.41   	-330.62		
-75.38   	-34.48   	 78.47   	 -35.61		 23.09   	-381.48		
-65.31   	-25.63   	 78.33   	-101.73		 21.57   	-422.18		
-62.26   	-27.77   	 77.92   	-178.03		 19.88   	-473.04		
-68.36   	-40.89   	 77.21   	-279.75		 17.99   	-528.99		
-77.21   	-55.24   	 76.09   	-361.14		 15.87   	-600.20		
-77.51   	-59.20   	 74.65   	-437.43		 13.47   	-635.81		
-63.17   	-49.13   	 72.90   	-483.21		 10.93   	-681.58		
-35.71   	-31.13   	 70.97   	-513.73		  8.20   	-762.97		
  0.00   	-13.12   	 68.91   	-991.86		  5.15   	-1688.70		
 86.36   	 24.11   	 64.94   	-371.31		 -1.61   	-701.93		
137.33   	 54.02   	 63.46   	-213.63		 -4.42   	-528.99		
189.51   	 91.86   	 62.60   	 -50.86		 -6.53   	-371.31		
234.99   	128.17   	 62.40   	 101.73		 -8.02   	-264.50		
263.98   	152.89   	 62.81   	 193.29		 -9.07   	-162.77		
265.50   	155.03   	 63.58   	 223.80		 -9.73   	 -40.69		
234.38   	129.39   	 64.48   	 183.11		 -9.89   	 111.90		
179.75   	 84.23   	 65.21   	  91.56		 -9.44   	 239.06		
119.02   	 36.01   	 65.57   	 -20.35		 -8.48   	 361.14		
 66.83   	  0.00   	 65.49   	-132.25		 -7.04   	 462.87		
 26.86   	-18.01   	 64.96   	-223.80		 -5.19   	 528.99		
 -7.02   	-24.11   	 64.07   	-284.84		 -3.07   	 559.51		
-41.20   	-29.60   	 62.93   	-300.10		 -0.83   	 503.56		
-72.33   	-39.06   	 61.73   	-274.67		  1.18   	 412.00		
-91.86   	-49.13   	 60.63   	-233.98		  2.83   	 345.88		
-97.05   	-54.02   	 59.69   	-167.85		  4.21   	 315.36		
-94.60   	-53.10   	 59.02   	 -91.56		  5.47   	 295.01		
-95.83   	-52.49   	 58.66   	 -20.35		  6.65   	 295.01		
-104.37   	-56.46   	 58.58   	  55.95		  7.83   	 289.93		
-113.83   	-66.53   	 58.80   	 101.73		  8.99   	 254.32		
-109.86   	-86.67   	 59.21   	 116.99		 10.01   	 172.94		
-70.19   	-126.65   	 59.67   	  96.64		 10.70   	  61.04		
 42.11   	-189.51   	 60.06   	  55.95		 10.95   	 -45.78		
251.16   	-263.37   	 60.28   	  15.26		 10.76   	-106.82		
500.18   	-323.79   	 60.35   	-106.82		 10.34   	-142.42		
565.49   	-240.48   	 59.92   	-116.99		  9.77   	 -30.52		
203.86   	-69.58   	 59.45   	-147.51		  9.64   	   0.00		
-326.84   	109.56   	 58.86   	-152.59		  9.64   	  30.52		
-788.27   	205.99   	 58.25   	-147.51		  9.77   	  61.04		
-973.21(R)	162.05   	 57.66   	-137.33		 10.01   	  76.30		
-845.34   	  3.97   	 57.11   	-111.90		 10.32   	  91.56		
-525.82   	-163.88   	 56.66   	 -96.64		 10.68   	  81.38		
-195.01   	-237.12   	 56.28   	 -81.38		 11.01   	  76.30		
  1.53   	-196.53   	 55.95   	 -55.95		 11.31   	  71.21		
 25.63   	-108.34   	 55.73   	 -35.61		 11.60   	  71.21		
-54.32   	-53.41   	 55.58   	 -25.43		 11.88   	  86.47		
-134.28   	-58.90   	 55.48   	 -35.61		 12.23   	 122.07		
-149.84   	-92.77   	 55.34   	 -50.86		 12.72   	 172.94		
-99.79   	-105.90   	 55.14   	 -81.38		 13.41   	 259.41		
-29.60   	-84.84   	 54.81   	-116.99		 14.45   	 350.97		
 10.07   	-54.93   	 54.34   	-132.25		 15.85   	 396.74		
  0.92   	-45.78   	 53.81   	-137.33		 17.44   	 452.69		
-32.04   	-60.12   	 53.27   	-142.42		 19.25   	 544.25		
-47.91   	-72.94   	 52.70   	-152.59		 21.42   	 605.29		
-27.16   	-63.17   	 52.09   	-147.51		 23.85   	 625.63		
 16.17   	-32.65   	 51.50   	-132.25		 26.35   	 640.89		
 55.54   	 -1.53   	 50.97   	 -91.56		 28.91   	 656.15		
 72.33   	 10.99   	 50.60   	 -66.12		 31.54   	 645.98		
 63.48   	 -1.83   	 50.34   	 -35.61		 34.12   	 661.24		
 42.42   	-28.38   	 50.19   	 -30.52		 36.76   	1032.55		
 34.79   	-47.61   	 50.07   	 -15.26		 40.90   	 310.27		
 65.31   	-21.97   	 50.01   	 -10.17		 42.14   	 213.63		
111.39   	 18.01   	 49.97   	 -10.17		 42.99   	  91.56		
158.08   	 57.07   	 49.93   	  10.17		 43.36   	 -25.43		
192.87   	 83.62   	 49.97   	  40.69		 43.26   	-111.90		
209.96   	 92.16   	 50.13   	 127.16		 42.81   	-183.11		
211.79   	 85.45   	 50.64   	 320.45		 42.08   	-244.15		
207.82   	 72.33   	 51.92   	 605.29		 41.10   	-269.58		
207.52   	 62.26   	 54.34   	 935.91		 40.02   	-289.93		
215.15   	 62.56   	 58.09   	1241.09		 38.86   	-295.01		
231.02   	 76.60   	 63.05   	1449.64		 37.68   	-279.75		
249.63   	101.01   	 68.85   	1495.42		 36.56   	-244.15		
263.67   	126.04   	 74.83   	1419.12		 35.58   	-203.46		
266.42   	140.69   	 80.51   	1261.44		 34.77   	-152.59		
254.52   	139.16   	 85.55   	1057.98		 34.16   	-106.82		
231.63   	124.51   	 89.79   	 864.70		 33.73   	 -45.78		
205.08   	105.90   	 93.24   	 691.76		 33.55   	   0.00		
182.19   	 91.86   	 96.01   	 498.47		 33.55   	  45.78		
166.63   	 86.06   	 98.01   	 264.50		 33.73   	  81.38		
156.56   	 84.53   	 99.06   	  -5.09		 34.06   	 111.90		
146.79   	 81.48   	 99.04   	-269.58		 34.51   	 137.33		
131.84   	 72.02   	 97.97   	-478.13		 35.06   	 142.42		
109.25   	 55.24   	 96.05   	-574.77		 35.63   	 137.33		
 79.04   	 32.35   	 93.75   	-549.34		 36.17   	 122.07		
 46.39   	  8.85   	 91.56   	-783.31		 36.66   	 178.03		
 -6.10   	-23.19   	 88.42   	-233.98		 37.38   	  35.61		
-22.28   	-30.52   	 87.49   	-157.68		 37.52   	   5.09		
-33.57   	-34.79   	 86.86   	-122.07		 37.54   	 -30.52		
-40.89   	-36.93   	 86.37   	 -96.64		 37.42   	 -66.12		
-43.33   	-36.62   	 85.98   	 -86.47		 37.15   	 -96.64		
-41.20   	-32.96   	 85.64   	 -91.56		 36.76   	-116.99		
-36.01   	-26.86   	 85.27   	-106.82		 36.30   	-132.25		
-30.82   	-19.84   	 84.84   	-142.42		 35.77   	-147.51		Beg---------
-29.30   	-15.87   	 84.27   	-193.29		 35.18   	-152.59		
-31.74   	-15.26   	 83.50   	-228.89		 34.57   	-147.51		
-36.93   	-18.92   	 82.58   	-218.72		 33.98   	-137.33		
-44.86   	-26.86   	 81.71   	-193.29		 33.43   	-116.99		
-53.41   	-36.93   	 80.94   	-152.59		 32.96   	-101.73		
-58.29   	-42.72   	 80.33   	 -96.64		 32.55   	 -76.30		
-57.68   	-41.50   	 79.94   	 -40.69		 32.25   	 -55.95		
