SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 51.35   	-157.68		 24.25   	-325.53		
 50.72   	-142.42		 22.95   	-305.19		
 50.15   	-111.90		 21.73   	-310.27		
 49.70   	 -81.38		 20.49   	-310.27		
 49.38   	 -45.78		 19.25   	-289.93		
 49.20   	 -25.43		 18.09   	-259.41		
 49.09   	 -25.43		 17.05   	-239.06		
 48.99   	 -20.35		 16.09   	-213.63		
 48.91   	 -35.61		 15.24   	-203.46		
 48.77   	 -50.86		 14.43   	-188.20		
 48.57   	 -55.95		 13.67   	-172.94		
 48.34   	 -61.04		 12.98   	-152.59		
 48.10   	 -50.86		 12.37   	-132.25		
 47.89   	 -55.95		 11.84   	-127.16		
 47.67   	 -55.95		 11.33   	-116.99		
 47.45   	 -50.86		 10.86   	-106.82		
 47.24   	 -50.86		 10.44   	-101.73		
 47.04   	 -50.86		 10.03   	 -96.64		
 46.84   	 -45.78		  9.64   	 -81.38		
 46.65   	 -55.95		  9.32   	 -66.12		
 46.43   	 -45.78		  9.05   	 -66.12		
 46.25   	 -45.78		  8.79   	 -61.04		
 46.06   	 -45.78		  8.55   	 -61.04		
 45.88   	 -30.52		  8.30   	 -45.78		
 45.76   	 -40.69		  8.12   	 -30.52		
 45.59   	 -30.52		  8.00   	 -30.52		
 45.47   	 -35.61		  7.87   	 -30.52		
 45.33   	 -40.69		  7.75   	 -25.43		
 45.17   	 -50.86		  7.65   	 -15.26		
 44.96   	 -50.86		  7.59   	 -10.17		
 44.76   	 -55.95		  7.55   	 -15.26		
 44.54   	 -71.21		  7.49   	 -10.17		
 44.25   	 -76.30		  7.45   	   5.09		
 43.95   	 -45.78		  7.47   	   0.00		
 43.76   	 -35.61		  7.47   	   0.00		
 43.62   	 -35.61		  7.47   	   0.00		
 43.48   	 -30.52		  7.47   	  20.35		
 43.36   	 -35.61		  7.55   	  25.43		
 43.21   	 -35.61		  7.65   	  20.35		
 43.07   	 -40.69		  7.73   	  25.43		
 42.91   	 -66.12		  7.83   	  45.78		
 42.64   	 -35.61		  8.02   	  20.35		
 42.50   	 -40.69		  8.10   	  30.52		
 42.34   	 -45.78		  8.22   	  35.61		
 42.16   	 -55.95		  8.36   	  15.26		
 41.93   	 -50.86		  8.42   	  15.26		
 41.73   	 -45.78		  8.48   	  20.35		
 41.55   	 -25.43		  8.57   	  25.43		
 41.44   	 -25.43		  8.67   	  30.52		
 41.34   	 -15.26		  8.79   	  35.61		
 41.28   	   0.00		  8.93   	  35.61		
 41.28   	 -25.43		  9.07   	  35.61		
 41.18   	 -30.52		  9.22   	  35.61		
 41.06   	 -35.61		  9.36   	  40.69		
 40.92   	 -55.95		  9.52   	  40.69		
 40.69   	 -81.38		  9.68   	  30.52		
 40.37   	 -45.78		  9.81   	  35.61		
 40.18   	  35.61		  9.95   	 106.82		
 40.33   	  45.78		 10.38   	 213.63		
 40.51   	 -45.78		 11.23   	 249.24		
 40.33   	 -96.64		 12.23   	 198.37		
 39.94   	 -66.12		 13.02   	 137.33		
 39.67   	 -50.86		 13.57   	 132.25		
 39.47   	 -55.95		 14.10   	 213.63		
 39.25   	 -40.69		 14.95   	 300.10		
 39.08   	 -55.95		 16.15   	 656.15		
 38.86   	 -15.26		 18.78   	 274.67		
 38.80   	  -5.09		 19.88   	 269.58		
 38.78   	   5.09		 20.96   	 300.10		
 38.80   	  -5.09		 22.16   	 330.62		
 38.78   	 -15.26		 23.48   	 356.05		
 38.72   	 -25.43		 24.90   	 340.79		
 38.62   	 -30.52		 26.27   	 300.10		
 38.49   	 -35.61		 27.47   	 289.93		
 38.35   	 -20.35		 28.63   	 295.01		
 38.27   	  -5.09		 29.81   	 305.19		
 38.25   	  25.43		 31.03   	 300.10		
 38.35   	  86.47		 32.23   	 295.01		
 38.70   	 152.59		 33.41   	 264.50		
 39.31   	 223.80		 34.47   	 254.32		
 40.20   	 295.01		 35.48   	 264.50		
 41.38   	 361.14		 36.54   	 269.58		
 42.83   	 406.92		 37.62   	 254.32		
 44.46   	 427.26		 38.64   	 239.06		
 46.16   	 437.43		 39.59   	 233.98		
 47.91   	 406.92		 40.53   	 233.98		
 49.54   	 356.05		 41.46   	 239.06		
 50.97   	 305.19		 42.42   	 244.15		
 52.19   	 254.32		 43.40   	 244.15		
 53.20   	 218.72		 44.37   	 233.98		
 54.08   	 437.43		 45.31   	 452.69		
 55.83   	 264.50		 47.12   	 218.72		
 56.89   	 315.36		 48.00   	 223.80		
 58.15   	 350.97		 48.89   	 218.72		
 59.55   	 366.22		 49.77   	 213.63		
 61.02   	 356.05		 50.62   	 213.63		
 62.44   	 315.36		 51.47   	 203.46		
 63.70   	 274.67		 52.29   	 213.63		
 64.80   	 239.06		 53.14   	 203.46		
 65.76   	 193.29		 53.96   	 188.20		
 66.53   	 147.51		 54.71   	 183.11		
 67.12   	 127.16		 55.44   	 167.85		
 67.63   	 111.90		 56.11   	 167.85		
 68.08   	 101.73		 56.79   	 172.94		
 68.48   	  96.64		 57.48   	 172.94		
 68.87   	  81.38		 58.17   	 167.85		
 69.20   	  55.95		 58.84   	 142.42		
 69.42   	  35.61		 59.41   	 122.07		
 69.56   	  15.26		 59.90   	 116.99		
 69.62(S)	 -20.35		 60.37   	 132.25		
 69.54   	 -30.52		 60.89   	 127.16		
 69.42   	 -50.86		 61.40   	 111.90		
 69.22   	 -61.04		 61.85   	 106.82		
 68.97   	 -76.30		 62.28   	 101.73		
 68.67   	 -86.47		 62.69   	  86.47		
 68.32   	-101.73		 63.03   	  76.30		
 67.91   	-116.99		 63.34   	  61.04		
 67.45   	-111.90		 63.58   	  61.04		
 67.00   	-106.82		 63.82   	  45.78		
 66.57   	 -86.47		 64.01   	  30.52		
 66.23   	 -76.30		 64.13   	  10.17		
 65.92   	 -71.21		 64.17(S)	   0.00		
 65.64   	 -71.21		 64.17   	 -20.35		
 65.35   	 -76.30		 64.09   	 -35.61		
 65.05   	 -91.56		 63.95   	 -71.21		
 64.68   	-111.90		 63.66   	 -96.64		
 64.23   	-137.33		 63.28   	-127.16		
 63.68   	-147.51		 62.77   	-152.59		
 63.09   	-152.59		 62.16   	-172.94		
 62.48   	-162.77		 61.46   	-203.46		
 61.83   	-162.77		 60.65   	-239.06		
 61.18   	-167.85		 59.69   	-295.01		
 60.51   	-162.77		 58.51   	-325.53		
 59.86   	-172.94		 57.21   	-361.14		
 59.17   	-183.11		 55.77   	-386.57		
 58.43   	-208.54		 54.22   	-386.57		
 57.60   	-223.80		 52.68   	-406.92		
 56.70   	-239.06		 51.05   	-437.43		
 55.75   	-228.89		 49.30   	-447.61		
 54.83   	-228.89		 47.51   	-437.43		
 53.92   	-198.37		 45.76   	-432.35		
 53.12   	-147.51		 44.03   	-432.35		
 52.53   	 -86.47		 42.30   	-442.52		
 52.19   	 -30.52		 40.53   	-452.69		
 52.06   	   5.09		 38.72   	-432.35		
 52.09   	  10.17		 36.99   	-417.09		
 52.13   	 -20.35		 35.32   	-417.09		
 52.04   	 -45.78		 33.65   	-401.83		
 51.86   	 -96.64		 32.04   	-386.57		
 51.47   	-137.33		 30.50   	-381.48		
 50.93   	-162.77		 28.97   	-376.40		
 50.27   	-167.85		 27.47   	-381.48		
 49.60   	-137.33		 25.94   	-366.22		
 49.05   	-106.82		 24.48   	-350.97		
 48.63   	 -81.38		 23.07   	-320.45		
 48.30   	 -55.95		 21.79   	-305.19		
 48.08   	 -35.61		 20.57   	-300.10		
 47.93   	 -25.43		 19.37   	-279.75		
 47.83   	 -25.43		 18.25   	-254.32		
 47.73   	 -30.52		 17.23   	-239.06		
 47.61   	 -45.78		 16.28   	-213.63		
 47.43   	 -45.78		 15.42   	-198.37		
 47.24   	 -55.95		 14.63   	-178.03		
 47.02   	 -61.04		 13.92   	-172.94		
 46.77   	 -50.86		 13.22   	-167.85		
 46.57   	 -45.78		 12.55   	-142.42		
 46.39   	 -61.04		 11.98   	-116.99		
 46.14   	 -45.78		 11.52   	-116.99		
 45.96   	 -35.61		 11.05   	-116.99		
 45.82   	 -40.69		 10.58   	-106.82		
 45.66   	 -40.69		 10.15   	 -96.64		
 45.49   	 -45.78		  9.77   	 -86.47		
 45.31   	 -45.78		  9.42   	 -71.21		
 45.13   	 -40.69		  9.14   	 -66.12		
 44.96   	 -30.52		  8.87   	 -50.86		
 44.84   	 -30.52		  8.67   	 -40.69		
 44.72   	 -30.52		  8.50   	 -45.78		
 44.60   	 -40.69		  8.32   	 -40.69		
 44.44   	 -45.78		  8.16   	 -40.69		
 44.25   	 -45.78		  8.00   	 -35.61		
 44.07   	 -55.95		  7.85   	 -25.43		
 43.85   	 -55.95		  7.75   	 -15.26		
 43.62   	 -50.86		  7.69   	  -5.09		
 43.42   	 -50.86		  7.67   	 -10.17		
 43.21   	 -50.86		  7.63   	 -10.17		
 43.01   	 -35.61		  7.59   	 -10.17		
 42.87   	 -30.52		  7.55(D)	   0.00		
 42.75   	 -35.61		  7.55   	  10.17		
 42.60   	 -35.61		  7.59   	  20.35		
 42.46   	 -25.43		  7.67   	  30.52		
 42.36   	 -30.52		  7.79   	  15.26		
 42.24   	 -30.52		  7.85   	  15.26		
 42.12   	 -71.21		  7.91   	  45.78		
 41.83   	 -45.78		  8.10   	  35.61		
 41.65   	 -40.69		  8.24   	  25.43		
 41.49   	 -45.78		  8.34   	  15.26		
 41.30   	 -35.61		  8.40   	  20.35		
 41.16   	 -35.61		  8.48   	  15.26		
 41.02   	 -35.61		  8.55   	  20.35		
 40.87   	 -30.52		  8.63   	  20.35		
 40.75   	 -35.61		  8.71   	  20.35		
 40.61   	 -20.35		  8.79   	  35.61		
 40.53   	 -30.52		  8.93   	  45.78		
 40.41   	 -30.52		  9.11   	  50.86		
 40.28   	 -40.69		  9.32   	  45.78		
 40.12   	 -45.78		  9.50   	  35.61		
 39.94   	 -50.86		  9.64   	  35.61		
 39.74   	 -61.04		  9.79   	  20.35		
 39.49   	  -5.09		  9.87   	  50.86		
 39.47   	  81.38		 10.07   	 147.51		
 39.80   	  30.52		 10.66   	 233.98		
 39.92   	 -76.30		 11.60   	 244.15		
 39.61   	 -91.56		 12.57   	 172.94		
 39.25   	 -61.04		 13.27   	 122.07		
 39.00   	 -50.86		 13.75   	 162.77		
 38.80   	 -55.95		 14.40   	 254.32		
 38.58   	 -45.78		 15.42   	 320.45		
 38.39   	 -40.69		 16.70   	 630.72		
 38.23   	 -15.26		 19.23   	 274.67		
 38.17   	 -10.17		 20.33   	 289.93		
 38.13   	  -5.09		 21.49   	 310.27		
 38.11   	   0.00		 22.73   	 350.97		
 38.11   	 -10.17		 24.13   	 350.97		
 38.07   	 -30.52		 25.53   	 315.36		
 37.94   	 -30.52		 26.80   	 289.93		
 37.82   	 -25.43		 27.96   	 300.10		
 37.72(D)	   0.00		 29.16   	 310.27		
 37.72   	  25.43		 30.40   	 300.10		
 37.82   	  76.30		 31.60   	 295.01		
 38.13   	 127.16		 32.78   	 295.01		
 38.64   	 193.29		 33.96   	 274.67		
 39.41   	 274.67		 35.06   	 259.41		
 40.51   	 345.88		 36.09   	 249.24		
 41.89   	 396.74		 37.09   	 254.32		
 43.48   	 432.35		 38.11   	 254.32		
 45.21   	 437.43		 39.12   	 254.32		
 46.96   	 412.00		 40.14   	 239.06		
 48.61   	 376.40		 41.10   	 228.89		
 50.11   	 315.36		 42.01   	 228.89		
 51.37   	 264.50		 42.93   	 233.98		
 52.43   	 218.72		 43.87   	 244.15		
 53.31   	 208.54		 44.84   	 244.15		
 54.14   	 503.56		 45.82   	 452.69		
 56.15   	 320.45		 47.63   	 213.63		
 57.44   	 350.97		 48.48   	 218.72		
 58.84   	 371.31		 49.36   	 218.72		
 60.33   	 376.40		 50.23   	 218.72		
 61.83   	 330.62		 51.11   	 208.54		
 63.15   	 295.01		 51.94   	 203.46		
 64.33   	 244.15		 52.76   	 193.29		
 65.31   	 193.29		 53.53   	 193.29		
 66.08   	 167.85		 54.30   	 198.37		
 66.75   	 157.68		 55.10   	 183.11		
 67.39   	 147.51		 55.83   	 183.11		
 67.98   	 122.07		 56.56   	 178.03		
 68.46   	 116.99		 57.27   	 162.77		
 68.93   	  86.47		 57.92   	 157.68		
 69.28   	  50.86		 58.56   	 142.42		
 69.48   	  20.35		 59.12   	 137.33		
 69.56(S)	  -5.09		 59.67   	 147.51		
 69.54   	 -25.43		 60.26   	 142.42		
 69.44   	 -45.78		 60.83   	 111.90		
 69.26   	 -55.95		 61.28   	 111.90		
 69.03   	 -45.78		 61.73   	 111.90		
 68.85   	 -45.78		 62.18   	 106.82		
 68.67   	 -50.86		 62.60   	  91.56		
 68.46   	 -66.12		 62.97   	  86.47		
 68.20   	 -81.38		 63.32   	  76.30		
 67.87   	 -86.47		 63.62   	  66.12		
 67.53   	-106.82		 63.89   	  55.95		
 67.10   	-106.82		 64.11   	  40.69		
 66.67   	-101.73		 64.27   	  25.43		
 66.27   	-101.73		 64.37   	  15.26		
 65.86   	 -91.56		 64.44(S)	 -15.26		
 65.49   	 -86.47		 64.37   	 -25.43		
 65.15   	 -96.64		 64.27   	 -40.69		
 64.76   	-106.82		 64.11   	 -81.38		
 64.33   	-116.99		 63.78   	-111.90		
 63.87   	-137.33		 63.34   	-127.16		
 63.32   	-137.33		 62.83   	-162.77		
 62.77   	-147.51		 62.18   	-188.20		
 62.18   	-137.33		 61.42   	-208.54		
 61.63   	-162.77		 60.59   	-249.24		
 60.98   	-167.85		 59.59   	-300.10		
 60.30   	-162.77		 58.39   	-356.05		
 59.65   	-178.03		 56.97   	-376.40		
 58.94   	-193.29		 55.46   	-381.48		
 58.17   	-208.54		 53.94   	-386.57		
 57.33   	-223.80		 52.39   	-422.18		
 56.44   	-233.98		 50.70   	-452.69		
 55.50   	-249.24		 48.89   	-452.69		
 54.51   	-223.80		 47.08   	-447.61		
 53.61   	-203.46		 45.29   	-437.43		
 52.80   	-142.42		 43.54   	-432.35		
 52.23   	 -76.30		 41.81   	-437.43		
 51.92   	 -15.26		 40.06   	-432.35		
 51.86   	  10.17		 38.33   	-432.35		
 51.90   	  15.26		 36.60   	-437.43		
 51.96   	  -5.09		 34.85   	-427.26		
 51.94   	 -55.95		 33.14   	-396.74		
 51.72   	 -91.56		 31.56   	-386.57		
 51.35   	-142.42		 30.01   	-381.48		
 50.78   	-172.94		 28.48   	-376.40		
 50.09   	-172.94		 26.98   	-371.31		
 49.40   	-147.51		 25.49   	-361.14		
 48.81   	-116.99		 24.05   	-340.79		
 48.34   	 -91.56		 22.69   	-325.53		
 47.98   	 -66.12		 21.38   	-310.27		
 47.71   	 -45.78		 20.14   	-295.01		
 47.53   	 -10.17		 18.96   	-274.67		
 47.49   	   0.00		 17.86   	-249.24		
 47.49   	  -5.09		 16.87   	-223.80		
 47.47   	 -20.35		 15.97   	-198.37		
 47.39   	 -30.52		 15.18   	-188.20		
 47.26   	 -30.52		 14.43   	-172.94		
 47.14   	 -50.86		 13.73   	-162.77		
 46.94   	 -50.86		 13.08   	-152.59		
 46.73   	 -61.04		 12.47   	-127.16		
 46.49   	 -71.21		 11.96   	-132.25		
 46.21   	 -81.38		 11.43   	-137.33		
 45.88   	 -81.38		 10.89   	-116.99		
 45.55   	 -81.38		 10.42   	-116.99		
 45.23   	 -71.21		  9.95   	-106.82		
 44.94   	 -40.69		  9.52   	 -81.38		
 44.78   	 -20.35		  9.20   	 -55.95		
 44.70   	   0.00		  8.97   	 -40.69		
 44.70   	  10.17		  8.81   	 -35.61		
 44.74   	  20.35		  8.67   	 -40.69		
 44.82   	  20.35		  8.50   	 -35.61		
 44.90   	 -15.26		  8.36   	 -40.69		
 44.84   	 -50.86		  8.20   	 -45.78		
 44.64   	 -81.38		  8.02   	 -40.69		
 44.31   	-106.82		  7.85   	 -30.52		
 43.89   	-111.90		  7.73   	 -25.43		
 43.44   	-106.82		  7.63   	 -15.26		
 43.01   	 -81.38		  7.57   	  -5.09		
 42.69   	 -50.86		  7.55(D)	   5.09		
 42.48   	 -15.26		  7.57   	   5.09		
 42.42   	  20.35		  7.59   	   5.09		
 42.50   	  25.43		  7.61   	  10.17		
 42.60   	  15.26		  7.65   	  20.35		
 42.67   	   5.09		  7.73   	  15.26		
 42.69   	 -20.35		  7.79   	  25.43		
 42.60   	 -45.78		  7.89   	  40.69		
 42.42   	-162.77		  8.06   	  45.78		
 41.77   	 -81.38		  8.24   	  15.26		
 41.44   	 -76.30		  8.30   	  10.17		
 41.14   	 -45.78		  8.34   	  10.17		
 40.96   	 -30.52		  8.38   	  20.35		
 40.83   	 -15.26		  8.46   	  25.43		
 40.77   	   0.00		  8.57   	  20.35		
 40.77   	   5.09		  8.65   	  35.61		
 40.79   	 -15.26		  8.79   	  35.61		
 40.73   	 -25.43		  8.93   	  30.52		
 40.63   	 -40.69		  9.05   	  40.69		
 40.47   	 -50.86		  9.22   	  40.69		
 40.26   	 -45.78		  9.38   	  45.78		
 40.08   	 -55.95		  9.56   	  40.69		
 39.86   	 -71.21		  9.73   	  30.52		
 39.57   	 -76.30		  9.85   	  20.35		
 39.27   	  30.52		  9.93   	  81.38		
 39.39   	  96.64		 10.25   	 198.37		
 39.78   	 -10.17		 11.05   	 244.15		
 39.74   	 -91.56		 12.02   	 183.11		
 39.37   	 -71.21		 12.76   	  76.30		
 39.08   	 -30.52		 13.06   	 101.73		
 38.96   	 -30.52		 13.47   	 300.10		
 38.84   	 -35.61		 14.67   	 518.82		
 38.70   	 -35.61		 16.74   	 406.92		
 38.56   	 -86.47		 18.37   	 147.51		
 38.21   	 -40.69		 18.96   	 289.93		
 38.05   	 -25.43		 20.12   	 442.52		
 37.94   	 -10.17		 21.89   	 452.69		
 37.90(D)	   0.00		 23.70   	 371.31		
 37.90   	   5.09		 25.19   	 259.41		
 37.92   	   0.00		 26.23   	 228.89		
 37.92   	   0.00		 27.14   	 279.75		
 37.92   	   0.00		 28.26   	 340.79		
 37.92   	  20.35		 29.62   	 361.14		
 38.01   	  45.78		 31.07   	 325.53		
 38.19   	  86.47		 32.37   	 264.50		
 38.53   	 142.42		 33.43   	 239.06		
 39.10   	 218.72		 34.38   	 244.15		
 39.98   	 295.01		 35.36   	 279.75		
 41.16   	 366.22		 36.48   	 289.93		
 42.62   	 417.09		 37.64   	 259.41		
 44.29   	 452.69		 38.68   	 228.89		
 46.10   	 462.87		 39.59   	 233.98		
 47.96   	 427.26		 40.53   	 244.15		
 49.66   	 366.22		 41.51   	 249.24		
 51.13   	 310.27		 42.50   	 249.24		
 52.37   	 259.41		 43.50   	 239.06		
 53.41   	 213.63		 44.46   	 233.98		
 54.26   	 198.37		 45.39   	 228.89		
 55.06   	 493.39		 46.31   	 442.52		
 57.03   	 330.62		 48.08   	 239.06		
 58.35   	 376.40		 49.03   	 233.98		
 59.86   	 396.74		 49.97   	 213.63		
 61.44   	 391.66		 50.82   	 208.54		
 63.01   	 366.22		 51.66   	 203.46		
 64.48   	 310.27		 52.47   	 213.63		
 65.72   	 239.06		 53.33   	 203.46		
 66.67   	 178.03		 54.14   	 198.37		
 67.39   	 122.07		 54.93   	 193.29		
 67.87   	  96.64		 55.71   	 178.03		
 68.26   	  86.47		 56.42   	 178.03		
 68.61   	 111.90		 57.13   	 178.03		
 69.05   	 116.99		 57.84   	 172.94		
 69.52   	 101.73		 58.53   	 167.85		
 69.93   	  91.56		 59.21   	 152.59		
 70.29   	  50.86		 59.82   	 132.25		
 70.50   	  15.26		 60.35   	 132.25		
 70.56(S)	 -20.35		 60.87   	 137.33		
 70.48   	 -55.95		 61.42   	 122.07		
 70.25   	 -66.12		 61.91   	 122.07		
 69.99   	 -81.38		 62.40   	 101.73		
 69.66   	 -91.56		 62.81   	  96.64		
 69.30   	 -91.56		 63.19   	  91.56		
 68.93   	 -86.47		 63.56   	  86.47		
 68.59   	 -86.47		 63.91   	  81.38		
 68.24   	 -81.38		 64.23   	  71.21		
 67.91   	 -71.21		 64.52   	  45.78		
 67.63   	 -66.12		 64.70   	  35.61		
