SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
-108.03   	-70.80   	  2.36   	 116.99		 47.24   	 -66.12		
-112.61   	-64.39   	  2.83   	  40.69		 46.98   	 -61.04		
-121.46   	-51.27   	  2.99   	  15.26		 46.73   	 -66.12		
-132.45   	-35.71   	  3.05   	  55.95		 46.47   	 -61.04		
-138.24   	-25.63   	  3.28   	  91.56		 46.23   	 -61.04		
-127.26   	-21.06   	  3.64   	  81.38		 45.98   	 -45.78		
-92.47   	-15.56   	  3.97   	  35.61		 45.80   	 -45.78		
-50.05   	-16.78   	  4.11   	  15.26		 45.62   	 -40.69		
-55.54   	-59.81   	  4.17   	  20.35		 45.45   	 -40.69		
-183.41   	-192.26   	  4.25   	 -10.17		 45.29   	 -35.61		
-473.63   	-440.67   	  4.21   	 -40.69		 45.15   	 -25.43		
-888.67   	-768.13   	  4.05   	 -10.17		 45.05   	 -25.43		
-1313.17   	-1082.46   	  4.01   	   0.00		 44.94   	 -25.43		
-1614.38   	-1296.39   	  4.01   	 -55.95		 44.84   	 -20.35		
-1723.02   	-1382.75   	  3.78   	 -76.30		 44.76   	 -20.35		
-1662.90   	-1374.51   	  3.48   	 -25.43		 44.68   	 -25.43		
-1509.40   	-1320.50   	  3.38   	  25.43		 44.58   	 -25.43		
-1327.51   	-1245.12   	  3.48   	  20.35		 44.48   	 -25.43		
-1141.66   	-1139.53   	  3.56   	 -15.26		 44.37   	 -25.43		
-950.62   	-995.48   	  3.50   	  20.35		 44.27   	 -20.35		
-755.62   	-829.47   	  3.58   	  35.61		 44.19   	 -25.43		
-566.71   	-664.67   	  3.72   	  -5.09		 44.09   	 -25.43		
-390.01   	-509.03   	  3.70   	  35.61		 43.99   	 -25.43		
-225.22   	-355.83   	  3.85   	  76.30		 43.89   	 -30.52		
-73.24   	-200.20   	  4.15   	  45.78		 43.76   	 -25.43		
 52.19   	-55.54   	  4.33   	  50.86		 43.66   	 -15.26		
131.53   	 47.61   	  4.54   	 218.72		 43.60   	 -50.86		
145.87   	 84.84   	  5.41   	 162.77		 43.40   	 -25.43		
129.09   	 61.34   	  6.06   	 228.89		 43.30   	 -15.26		
129.39   	 48.83   	  6.98   	 259.41		 43.23   	 -15.26		
148.32   	 56.15   	  8.02   	 269.58		 43.17   	 -15.26		
172.73   	 73.85   	  9.09   	 305.19		 43.11   	 -15.26		
189.21   	 88.20   	 10.32   	 345.88		 43.05   	 -10.17		
195.01   	 93.08   	 11.70   	 371.31		 43.01   	 -10.17		
195.62   	 92.47   	 13.18   	 422.18		 42.97   	  -5.09		
198.67   	 92.77   	 14.87   	 462.87		 42.95   	 -10.17		
205.99   	 96.74   	 16.72   	 493.39		 42.91   	 -10.17		
215.45   	103.76   	 18.70   	 518.82		 42.87   	 -15.26		
223.39   	110.78   	 20.77   	 549.34		 42.81   	 -10.17		
229.80   	117.49   	 22.97   	 584.94		 42.77   	   0.00		
236.21   	124.51   	 25.31   	 595.11		 42.77   	 -15.26		
243.84   	132.14   	 27.69   	 620.55		 42.71   	 -20.35		
252.69   	140.08   	 30.17   	 666.32		 42.62   	 -15.26		
261.54   	147.40   	 32.84   	 640.89		 42.56   	 -10.17		
269.78   	153.50   	 35.40   	 595.11		 42.52   	 -10.17		
276.49   	159.00   	 37.78   	 625.63		 42.48   	 -20.35		
282.59   	165.41   	 40.28   	 656.15		 42.40   	 -15.26		
288.09   	173.65   	 42.91   	 661.24		 42.34   	 -10.17		
293.88   	184.02   	 45.55   	 610.37		 42.30   	 -10.17		
299.38   	195.31   	 48.00   	 534.08		 42.26   	 -10.17		
304.57   	205.99   	 50.13   	 513.73		 42.22   	 -15.26		
308.84   	216.06   	 52.19   	 951.17		 42.16   	 -20.35		
316.77   	237.73   	 55.99   	 417.09		 42.08   	   0.00		
320.74   	249.94   	 57.66   	 376.40		 42.08   	   0.00		
324.40   	261.84   	 59.17   	 356.05		 42.08   	 -10.17		
327.15   	273.44   	 60.59   	 315.36		 42.03   	   0.00		
328.67   	283.81   	 61.85   	 259.41		 42.03   	  10.17		
329.28   	293.88   	 62.89   	 198.37		 42.08   	  30.52		
329.59   	304.26   	 63.68   	 198.37		 42.20   	  50.86		
330.51   	315.86   	 64.48   	 228.89		 42.40   	 101.73		
331.73   	329.90   	 65.39   	 198.37		 42.81   	 167.85		
332.95   	345.46   	 66.18   	 147.51		 43.48   	 259.41		
333.86   	361.33   	 66.77   	 122.07		 44.52   	 356.05		
334.17   	374.76   	 67.26   	 106.82		 45.94   	 432.35		
333.86   	385.13   	 67.69   	 111.90		 47.67   	 488.30		
332.34   	391.85   	 68.14   	 132.25		 49.62   	 508.65		
328.67   	397.34   	 68.67   	 157.68		 51.66   	 503.56		
321.66   	402.83   	 69.30   	 147.51		 53.67   	 478.13		
311.28   	407.71   	 69.89   	 106.82		 55.58   	 462.87		
297.55   	410.46   	 70.32   	  96.64		 57.44   	 422.18		
281.07   	409.24   	 70.70   	 162.77		 59.12   	 366.22		
261.84   	402.53   	 71.35   	 193.29		 60.59   	 320.45		
239.26   	389.71   	 72.13   	 172.94		 61.87   	 274.67		
213.32   	370.48   	 72.82   	 178.03		 62.97   	 218.72		
184.63   	346.37   	 73.53   	 157.68		 63.85   	 178.03		
155.03   	318.60   	 74.16   	 152.59		 64.56   	 142.42		
125.73   	288.09   	 74.77   	 356.05		 65.13   	 183.11		
 71.11   	226.14   	 76.20   	 167.85		 65.86   	  61.04		
 46.69   	196.53   	 76.87   	 147.51		 66.10   	  45.78		
 25.02   	169.68   	 77.46   	  96.64		 66.29   	  40.69		
  6.71   	144.96   	 77.84   	  81.38		 66.45   	  35.61		
 -8.24   	122.38   	 78.17   	 101.73		 66.59   	  40.69		
-19.84   	101.32   	 78.58   	 101.73		 66.75   	  55.95		
-28.38   	 81.79   	 78.98   	  40.69		 66.98   	  61.04		
-34.48   	 64.70   	 79.15(S)	 -30.52		 67.22   	  71.21		
-38.45   	 51.27   	 79.02   	 -20.35		 67.51   	  91.56		
-40.59   	 42.11   	 78.94   	 -10.17		 67.87   	 106.82		
-41.81   	 37.54   	 78.90   	 -66.12		 68.30   	 116.99		
-43.03   	 35.71   	 78.64   	-147.51		 68.77   	 132.25		
-43.95   	 34.79   	 78.05   	-167.85		 69.30   	 132.25		
-44.25   	 32.65   	 77.38   	-167.85		 69.83   	 132.25		
-43.33   	 29.60   	 76.70   	-239.06		 70.36   	 127.16		
-41.81   	 25.94   	 75.75   	-310.27		 70.86   	 122.07		
-39.67   	 23.80   	 74.51   	-279.75		 71.35   	 111.90		
-38.15   	 23.80   	 73.39   	-259.41		 71.80   	  91.56		
