SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 53.41   	-55.85   	 66.45   	 -71.21		  0.71   	  45.78		
 52.80   	-57.68   	 66.16   	 -71.21		  0.90   	  30.52		
 51.88   	-58.29   	 65.88   	 -71.21		  1.02   	  20.35		
 49.13   	-58.59   	 65.59   	 -71.21		  1.10   	  15.26		
 44.86   	-60.12   	 65.31   	 -71.21		  1.16   	 -15.26		
 40.28   	-63.17   	 65.03   	 -55.95		  1.10   	 -61.04		
 36.32   	-66.22   	 64.80   	 -45.78		  0.85   	 -61.04		
 33.57   	-68.36   	 64.62   	 -50.86		  0.61   	 -20.35		
 32.04   	-69.27   	 64.41   	 -61.04		  0.53   	 -10.17		
 30.21   	-69.58   	 64.17   	 -55.95		  0.49   	   0.00		
 27.77   	-70.50   	 63.95   	 -55.95		  0.49   	  -5.09		
 25.63   	-73.24   	 63.72   	 -76.30		  0.47   	 -20.35		
 23.80   	-78.13   	 63.42   	 -81.38		  0.39   	   0.00		
 21.67   	-83.62   	 63.09   	 -55.95		  0.39   	  25.43		
 18.62   	-88.50   	 62.87   	 -30.52		  0.49   	  45.78		
 15.56   	-91.25   	 62.75   	 -15.26		  0.67   	  61.04		
 13.43   	-93.08   	 62.69   	 -30.52		  0.92   	  50.86		
 12.82   	-94.91   	 62.56   	 -15.26		  1.12   	  40.69		
 13.73   	-96.74   	 62.50   	 -25.43		  1.28   	  25.43		
 14.04   	-98.88   	 62.40   	 -40.69		  1.38   	  35.61		
 12.51   	-99.79   	 62.24   	 -61.04		  1.53   	  20.35		
  9.16   	-99.79   	 61.99   	 -50.86		  1.61   	   5.09		
  5.80   	-98.57   	 61.79   	 -40.69		  1.63   	  -5.09		
  5.19   	-97.66   	 61.63   	 -15.26		  1.61   	 -25.43		
  7.63   	-97.66   	 61.57   	 -15.26		  1.51   	 -25.43		
 11.29   	-97.96   	 61.51   	 -20.35		  1.40   	 -15.26		
 13.43   	-98.57   	 61.42   	 -20.35		  1.34   	 -15.26		
 12.21   	-99.18   	 61.34   	 -30.52		  1.28   	 -20.35		
  9.16   	-99.49   	 61.22   	 -40.69		  1.20   	 -10.17		
  6.71   	-100.71   	 61.06   	 -45.78		  1.16   	   5.09		
  6.41   	-101.62   	 60.87   	 -35.61		  1.18   	  10.17		
