SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
 10.68   	-32.04   	 32.19   	-722.28		 96.91   	-137.33		
 15.56   	-26.55   	 29.30   	-686.67		 96.36   	-137.33		
 25.02   	-16.17   	 26.55   	-640.89		 95.81   	-142.42		
 38.15   	 -0.31   	 23.99   	-600.20		 95.24   	-147.51		
 53.41   	 20.45   	 21.59   	-544.25		 94.65   	-152.59		
 67.75   	 45.17   	 19.41   	-498.47		 94.04   	-162.77		
 79.04   	 71.11   	 17.42   	-447.61		 93.39   	-178.03		
 87.59   	 94.60   	 15.63   	-401.83		 92.68   	-178.03		
 94.91   	112.30   	 14.02   	-356.05		 91.96   	-193.29		
103.76   	124.21   	 12.59   	-315.36		 91.19   	-198.37		
115.97   	136.41   	 11.33   	-269.58		 90.40   	-203.46		
132.14   	154.42   	 10.25   	-239.06		 89.58   	-208.54		
148.01   	176.70   	  9.30   	-208.54		 88.75   	-203.46		
156.56   	192.26   	  8.46   	-188.20		 87.93   	-208.54		
152.28   	187.68   	  7.71   	-178.03		 87.10   	-198.37		
135.50   	157.17   	  7.00   	-178.03		 86.31   	-193.29		
111.08   	109.25   	  6.29   	-167.85		 85.53   	-188.20		
 86.36   	 57.98   	  5.62   	-167.85		 84.78   	-172.94		
 63.78   	 15.56   	  4.94   	-147.51		 84.09   	-167.85		
 43.03   	-15.26   	  4.35   	-122.07		 83.42   	-152.59		
 22.58   	-38.45   	  3.87   	 -91.56		 82.81   	-142.42		
  3.36   	-56.76   	  3.50   	 -55.95		 82.24   	-137.33		
-11.29   	-71.11   	  3.28   	 -25.43		 81.69   	-127.16		
-21.06   	-80.87   	  3.17   	   5.09		 81.18   	-122.07		
-27.47   	-86.06   	  3.19   	  20.35		 80.69   	-122.07		
-32.96   	-87.28   	  3.28   	  25.43		 80.20   	-116.99		
-38.15   	-86.67   	  3.38   	  10.17		 79.74   	-116.99		
-42.11   	-84.53   	  3.42   	  -5.09		 79.27   	-116.99		
-43.64   	-81.79   	  3.40   	 -35.61		 78.80   	-116.99		
-44.25   	-79.96   	  3.26   	 -76.30		 78.33   	-111.90		
-46.08   	-79.96   	  2.95   	-106.82		 77.88   	-116.99		
-49.13   	-81.79   	  2.52   	-127.16		 77.42   	-116.99		
-53.10   	-87.28   	  2.01   	-132.25		 76.95   	-111.90		
-56.15   	-97.35   	  1.49   	-127.16		 76.50   	-111.90		
-57.37   	-108.34   	  0.98   	-106.82		 76.05   	-111.90		
-51.88   	-107.42   	  0.55   	 -61.04		 75.60   	-106.82		
-24.11   	-77.82   	  0.31   	 -15.26		 75.18   	 -96.64		
 53.41   	  0.61   	  0.24(D)	  40.69		 74.79   	-101.73		
207.52   	143.43   	  0.41   	  86.47		 74.38   	 -91.56		
433.35   	347.29   	  0.75   	 142.42		 74.02   	 -91.56		
655.52   	585.33   	  1.32   	 198.37		 73.65   	 -81.38		
742.19   	808.11   	  2.12   	 310.27		 73.33   	 -81.38		
169.98   	1007.69(R)	  3.36   	 305.19		 73.00   	 -81.38		
-351.56   	934.45   	  4.58   	 289.93		 72.68   	 -71.21		
-770.57   	755.00   	  5.74   	 244.15		 72.39   	 -71.21		
-934.14   	494.69   	  6.71   	 203.46		 72.11   	 -66.12		
-837.40   	197.45   	  7.53   	 152.59		 71.84   	 -61.04		
-600.89   	-64.70   	  8.14   	  96.64		 71.60   	 -55.95		
-365.91   	-216.37   	  8.52   	  45.78		 71.37   	 -55.95		
-208.13   	-220.03   	  8.71   	  10.17		 71.15   	 -55.95		
-123.29   	-112.61   	  8.75   	 -25.43		 70.93   	 -55.95		
-75.07   	 10.07   	  8.65   	 -40.69		 70.70   	 -50.86		
-39.37   	 59.20   	  8.48   	 -50.86		 70.50   	 -50.86		
-14.04   	 16.17   	  8.28   	 -40.69		 70.29   	 -45.78		
 -2.75   	-67.14   	  8.12   	 -25.43		 70.11   	 -45.78		
 -3.36   	-124.51   	  8.02   	  45.78		 69.93   	 -50.86		
 -7.02   	-129.09   	  8.20   	 132.25		 69.73   	 -40.69		
 -7.32   	-102.23   	  8.73   	 203.46		 69.56   	 -40.69		
 -3.05   	-79.35   	  9.54   	 335.71		 69.40   	 -40.69		
  3.36   	-77.51   	 10.89   	 488.30		 69.24   	 -40.69		
  8.85   	-88.50   	 12.84   	 579.86		 69.07   	 -40.69		
 11.29   	-96.44   	 15.16   	 661.24		 68.91   	 -40.69		
 10.68   	-94.30   	 17.80   	 732.45		 68.75   	 -45.78		
  9.77   	-85.75   	 20.73   	 788.40		 68.57   	 -35.61		
 12.51   	-77.21   	 23.89   	 844.35		 68.42   	 -40.69		
 18.92   	-71.41   	 27.26   	 890.13		 68.26   	 -40.69		
 27.16   	-68.97   	 30.82   	1032.55		 68.10   	 -45.78		
 40.89   	-66.53   	 34.95   	1007.12		 67.91   	 -45.78		
 46.69   	-63.17   	 38.98   	 961.34		 67.73   	 -40.69		
 51.27   	-58.90   	 42.83   	 890.13		 67.57   	 -40.69		
 54.32   	-54.93   	 46.39   	 808.75		 67.41   	 -35.61		
 54.93   	-52.80   	 49.62   	 712.10		 67.26   	 -35.61		
 54.93   	-52.19   	 52.47   	 605.29		 67.12   	 -30.52		
 57.68   	-51.27   	 54.89   	 513.73		 67.00   	 -35.61		
 65.31   	-48.83   	 56.95   	 412.00		 66.86   	 -30.52		
 77.21   	-45.17   	 58.60   	 325.53		 66.73   	 -30.52		
 89.42   	-41.20   	 59.90   	 249.24		 66.61   	 -35.61		
 98.27   	-38.45   	 60.89   	 178.03		 66.47   	 -30.52		
103.15   	-36.93   	 61.61   	 132.25		 66.35   	 -35.61		
107.42   	-35.10   	 62.14   	  91.56		 66.21   	 -35.61		
114.75   	-31.43   	 62.50   	  66.12		 66.06   	 -40.69		
125.73   	-25.33   	 62.77   	  61.04		 65.90   	 -40.69		
137.63   	-19.23   	 63.01   	  71.21		 65.74   	 -45.78		
146.18   	-14.34   	 63.30   	  86.47		 65.55   	 -50.86		
149.23   	-11.90   	 63.64   	  96.64		 65.35   	 -50.86		
147.40   	-10.38   	 64.03   	 111.90		 65.15   	 -50.86		
143.74   	 -7.32   	 64.48   	 132.25		 64.94   	 -50.86		
140.38   	 -0.61   	 65.00   	 142.42		 64.74   	 -45.78		
138.85   	  9.16   	 65.57   	 152.59		 64.56   	 -30.52		
137.33   	 19.53   	 66.18   	 152.59		 64.44(D)	   0.00		
134.28   	 28.69   	 66.80   	 157.68		 64.44   	  50.86		
128.78   	 35.71   	 67.43   	 167.85		 64.64   	 300.10		
114.44   	 48.52   	 68.10   	 172.94		 65.84   	 432.35		
108.34   	 56.15   	 68.79   	 162.77		 67.57   	 544.25		
